command,products,topic
pnp enable,"['cbs_250', 'cbs_350', 'cat_1300']",PnP Commands
pnp reconnect interval,"['cbs_250', 'cbs_350', 'cat_1300']",PnP Commands
pnp resume,"['cbs_250', 'cbs_350', 'cat_1300']",PnP Commands
pnp transport,"['cbs_250', 'cbs_350', 'cat_1300']",PnP Commands
pnp watchdog timeout,"['cbs_250', 'cbs_350', 'cat_1300']",PnP Commands
police,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
police aggregate,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
policy-map,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
port jumbo-frame,"['cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
port leds enable,['cbs_220'],System Management Commands
port security,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
port security max,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
port security mode,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
port security routed secure-address,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
port-channel load-balance,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Port Channel Commands
power inline,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
power inline four-pair forced,"['cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
power inline inrush test disable,"['cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
power inline legacy enable,['cbs_220'],Power over Ethernet (PoE) Commands
power inline legacy support disable,"['cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
power inline limit,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
power inline limit-mode,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
power inline negotiation,"['cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
power inline powered-device,"['cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
power inline priority,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
power inline traps enable,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
power inline usage-threshold,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",PoE Commands
preference,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
priority-queue out num-of-queues,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
private-vlan,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
private-vlan association,"['cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
privilege-level,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
profile range,"['cbs_220', 'cbs_220']",IPv6 MLD Snooping Commands
pwd,"['cbs_250', 'cbs_350', 'cat_1300']",File System Commands
qos,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
qos advanced-mode trust,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
qos aggregate-policer,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
qos cos,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
qos dscp-mutation,"['cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
qos map cos-queue,['cbs_220'],QoS Commands
qos map dscp-queue,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
qos map policed-dscp,"['cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
qos map precedence-queue,['cbs_220'],QoS Commands
qos map queue-cos,['cbs_220'],QoS Commands
qos map queue-dscp,['cbs_220'],QoS Commands
qos map queue-precedence,['cbs_220'],QoS Commands
qos remark,['cbs_220'],QoS Commands
qos statistics aggregate-policer,"['cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
qos statistics policer,"['cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
qos trust (Global),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
qos trust (Interface),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
qos wrr-queue wrtd,"['cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
radius server accounting-port,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
radius server authentication-port,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
radius server enable,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
radius server group,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
radius server nas secret,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
radius server traps accounting,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
radius server traps authentication success,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
radius server user,"['cbs_250', 'cbs_350', 'cat_1300']",Radius Server Commands
radius-server deadtime,"['cbs_350', 'cat_1300']",RADIUS Commands
radius-server default-param,['cbs_220'],RADIUS Commands
radius-server host,"['cbs_220', 'cbs_350', 'cat_1300']",RADIUS Commands
radius-server host source-interface,"['cbs_350', 'cat_1300']",RADIUS Commands
radius-server host source-interface-ipv6,"['cbs_350', 'cat_1300']",RADIUS Commands
radius-server key,"['cbs_350', 'cat_1300']",RADIUS Commands
radius-server retransmit,"['cbs_350', 'cat_1300']",RADIUS Commands
radius-server timeout,"['cbs_350', 'cat_1300']",RADIUS Commands
rate-limit (Ethernet),"['cbs_250', 'cbs_350', 'cat_1300']",Rate Limit and Storm Commands
rate-limit (Interface),['cbs_220'],QoS Commands
rate-limit (VLAN),['cbs_220'],QoS Commands
rate-limit vlan,"['cbs_250', 'cbs_350', 'cat_1300']",Rate Limit and Storm Commands
redirect,"['cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
redistribute (RIP),"['cbs_350', 'cat_1300']",RIP Commands
reload,"['cbs_220', 'cbs_250', 'cbs_250', 'cbs_350', 'cbs_350', 'cat_1300', 'cat_1300']",System Management Commands
reload factory-default,['cat_1300'],System Management Commands
remote-span,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",SPAN and RSPAN Commands
rename,"['cbs_250', 'cbs_350', 'cat_1300']",File System Commands
renew dhcp,"['cbs_250', 'cbs_350', 'cat_1300']",IP Addressing Commands
renew dhcp force-autoconfig,['cbs_220'],Configuration and Image File Commands
renew ip dhcp snooping database,['cbs_220'],IP DHCP Snooping Commands
resume,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
revision (MST),"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
rmdir,"['cbs_250', 'cbs_350', 'cat_1300']",File System Commands
rmon alarm,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",RMON commands
rmon collection stats,"['cbs_250', 'cbs_350', 'cat_1300']",RMON commands
rmon event,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",RMON commands
rmon history,['cbs_220'],RMON Commands
rmon table-size,"['cbs_250', 'cbs_350', 'cat_1300']",RMON commands
route-map (Policy Routing),"['cbs_350', 'cat_1300']",Route Map Commands
router rip,"['cbs_350', 'cat_1300']",RIP Commands
router-preference,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
sec-level minimum,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
security-suite deny fragmented,"['cbs_250', 'cbs_350', 'cat_1300']",DoS Commands
security-suite deny icmp,"['cbs_250', 'cbs_350', 'cat_1300']",DoS Commands
security-suite deny martian-addresses,"['cbs_250', 'cbs_350', 'cat_1300']",DoS Commands
security-suite deny syn,"['cbs_250', 'cbs_350', 'cat_1300']",DoS Commands
security-suite deny syn-fin,"['cbs_250', 'cbs_350', 'cat_1300']",DoS Commands
security-suite dos (Global),['cbs_220'],Security DoS Commands
security-suite dos (Interface),['cbs_220'],Security DoS Commands
security-suite dos ip gratuitous-arps,['cbs_220'],Security DoS Commands
security-suite dos protect,"['cbs_250', 'cbs_350', 'cat_1300']",DoS Commands
security-suite dos syn-attack,"['cbs_250', 'cbs_350', 'cat_1300']",DoS Commands
security-suite enable,"['cbs_250', 'cbs_350', 'cat_1300']",DoS Commands
security-suite syn protection mode,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",DoS Commands
security-suite syn protection recovery,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",DoS Commands
security-suite syn protection threshold,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",DoS Commands
send-lifetime,"['cbs_250', 'cbs_350', 'cat_1300']",IP Routing Protocol-Independent Commands
service cpu-utilization,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
service mirror-configuration,"['cbs_250', 'cbs_350', 'cat_1300']",File System Commands
service password-recovery,"['cbs_250', 'cbs_350', 'cat_1300']",AAA Commands
service-acl input,"['cbs_250', 'cbs_350', 'cat_1300']",ACL Commands
service-acl output,"['cbs_250', 'cbs_350', 'cat_1300']",ACL Commands
service-policy,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
set,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
set interface active,"['cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
set ip next-hop,"['cbs_350', 'cat_1300']",Route Map Commands
set ipv6 next-hop,"['cbs_350', 'cat_1300']",Route Map Commands
set router hardware-routing active,"['cbs_250', 'cbs_350', 'cat_1300']",Router Resources Commands
set stack mode,['cbs_350'],Stack Commands
set stack unit-type,"['cbs_350', 'cat_1300']",Stack Commands
sflow counters-sampling,"['cbs_350', 'cat_1300']",sFlow Commands
sflow flow-sampling,"['cbs_350', 'cat_1300']",sFlow Commands
sflow receiver,"['cbs_350', 'cat_1300']",sFlow Commands
sflow receiver source-interface,"['cbs_350', 'cat_1300']",sFlow Commands
sflow receiver source-interface-ipv6,"['cbs_350', 'cat_1300']",sFlow Commands
show (MST),"['cbs_250', 'cbs_350', 'cat_1300']",Spanning Tree Commands
show SSD,"['cbs_250', 'cbs_350', 'cat_1300']",SSD Commands
show aaa authentication lists,['cbs_220'],AAA Commands
show access-lists,"['cbs_220', 'cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",ACL Commands
show access-lists utilization,['cbs_220'],ACL Commands
show accounting,"['cbs_250', 'cbs_350', 'cat_1300']",AAA Commands
show arp,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",IP Addressing Commands
show arp configuration,"['cbs_250', 'cbs_350', 'cat_1300']",IP Addressing Commands
show authentication methods,"['cbs_250', 'cbs_350', 'cat_1300']",AAA Commands
show backup-config,['cbs_220'],Configuration and Image File Commands
show banner,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
show bluetooth status,['cat_1300'],Bluetooth Commands
show bonjour,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Bonjour Commands
show boot,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Auto-Update and Auto-Configuration
show bootvar,['cbs_220'],Configuration and Image File Commands
show bootvar / show version,"['cbs_250', 'cbs_350', 'cat_1300']",File System Commands
show bridge multicast address-table,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
show bridge multicast address-table static,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
show bridge multicast filtering,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
show bridge multicast mode,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
show bridge multicast reserved-address,['cbs_220'],Address Table Commands
show bridge multicast reserved-addresses,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
show bridge unicast unknown,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
show ca-certificate,"['cbs_250', 'cbs_350', 'cat_1300']",CA Certificate Commands
show ca-certificate revocation,"['cbs_250', 'cbs_350', 'cat_1300']",CA Certificate Commands
show cable-diagnostics cable-length,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",PHY Commands
show cable-diagnostics tdr,"['cbs_250', 'cbs_350', 'cat_1300']",PHY Commands
show cbd,"['cbs_250', 'cbs_350', 'cat_1300']",CBD Probe Commands
show cdp,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
show cdp entry,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
show cdp interface,"['cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
show cdp interfaces,['cbs_220'],CDP Commands
show cdp neighbors,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
show cdp tlv,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
show cdp traffic,"['cbs_250', 'cbs_350', 'cat_1300']",CDP Commands
show cdp traffic (Interface),['cbs_220'],CDP Commands
show cdp traffic global,['cbs_220'],CDP Commands
show class-map,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",QoS Commands
show clock,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Clock Commands
show cpld version,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show cpu input rate,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show cpu utilization,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show crypto certificate,"['cbs_250', 'cbs_350', 'cat_1300']",RSA and Certificate Commands
show crypto key,"['cbs_250', 'cbs_350', 'cat_1300']",RSA and Certificate Commands
show crypto key pubkey-chain ssh,"['cbs_250', 'cbs_350', 'cat_1300']","Telnet, SSH and Slogin Commands"
show dot1x,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
show dot1x authenticated-hosts,['cbs_220'],802.1X Commands
show dot1x credentials,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
show dot1x guest-vlan,['cbs_220'],802.1X Commands
show dot1x locked clients,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
show dot1x sessions,['cbs_220'],802.1X Commands
show dot1x statistics,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
show dot1x users,"['cbs_250', 'cbs_350', 'cat_1300']",802-1x Commands
show dying-gasp packets,['cat_1300'],System Management Commands
show dying-gasp status,['cat_1300'],System Management Commands
show eee,"['cbs_250', 'cbs_350', 'cat_1300']",EEE Commands
show env all,['cbs_220'],Power over Ethernet (PoE) Commands
show environment,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show errdisable interfaces,"['cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
show errdisable recovery,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
show etherchannel summary,['cbs_220'],Port Channel Commands
show fiber-ports optical-transceiver,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",PHY Commands
show green-ethernet,"['cbs_250', 'cbs_350', 'cat_1300']",Green Ethernet Commands
show gvrp,['cbs_220'],GVRP Commands
show gvrp configuration,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",GVRP Commands
show gvrp error-statistics,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",GVRP Commands
show gvrp statistics,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",GVRP Commands
show hardware components,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show hardware version,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show history,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",User Interface Commands
show hosts,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",DNS Client Commands
show interface status,['cbs_220'],Ethernet Configuration Commands
show interfaces access-lists trapped packets,"['cbs_250', 'cbs_350', 'cat_1300']",ACL Commands
show interfaces advertise,"['cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
show interfaces configuration,"['cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
show interfaces counters,"['cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
show interfaces description,"['cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
show interfaces port-channel,"['cbs_250', 'cbs_350', 'cat_1300']",Port Channel Commands
show interfaces protected-ports,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
show interfaces status,"['cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
show interfaces switchport,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",VLAN Commands
show inventory,"['cbs_250', 'cbs_350', 'cat_1300']",System Management Commands
show ip,['cbs_220'],IP Addressing Commands
show ip arp inspection,"['cbs_220', 'cbs_350', 'cat_1300']",DHCP Snooping Commands
show ip arp inspection interfaces,['cbs_220'],IP ARP Inspection Commands
show ip arp inspection list,"['cbs_350', 'cat_1300']",DHCP Snooping Commands
show ip arp inspection statistics,"['cbs_220', 'cbs_350', 'cat_1300']",DHCP Snooping Commands
show ip dhcp,"['cbs_220', 'cbs_350', 'cat_1300']",DHCP Server Commands
show ip dhcp allocated,"['cbs_350', 'cat_1300']",DHCP Server Commands
show ip dhcp binding,"['cbs_350', 'cat_1300']",DHCP Server Commands
show ip dhcp client interface,"['cbs_250', 'cbs_350', 'cat_1300']",IP Addressing Commands
show ip dhcp declined,"['cbs_350', 'cat_1300']",DHCP Server Commands
show ip dhcp excluded-addresses,"['cbs_350', 'cat_1300']",DHCP Server Commands
show ip dhcp expired,"['cbs_350', 'cat_1300']",DHCP Server Commands
show ip dhcp information option,"['cbs_250', 'cbs_350', 'cat_1300']",DHCP Relay Commands
show ip dhcp information option tokens,"['cbs_250', 'cbs_350', 'cat_1300']",DHCP Relay Commands
show ip dhcp pool host,"['cbs_350', 'cat_1300']",DHCP Server Commands
show ip dhcp pool network,"['cbs_350', 'cat_1300']",DHCP Server Commands
show ip dhcp pre-allocated,"['cbs_350', 'cat_1300']",DHCP Server Commands
show ip dhcp relay,"['cbs_250', 'cbs_350', 'cat_1300']",DHCP Relay Commands
show ip dhcp server statistics,"['cbs_350', 'cat_1300']",DHCP Server Commands
show ip dhcp snooping,"['cbs_220', 'cbs_350', 'cat_1300']",DHCP Snooping Commands
show ip dhcp snooping binding,"['cbs_220', 'cbs_350', 'cat_1300']",DHCP Snooping Commands
show ip dhcp snooping database,['cbs_220'],IP DHCP Snooping Commands
show ip dhcp snooping information option format remote-id,['cbs_220'],IP DHCP Snooping Commands
show ip dhcp snooping interfaces,['cbs_220'],IP DHCP Snooping Commands
show ip dhcp snooping interfaces statistics,['cbs_220'],IP DHCP Snooping Commands
show ip dhcp tftp-server,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Auto-Update and Auto-Configuration
show ip helper-address,"['cbs_250', 'cbs_350', 'cat_1300']",IP Addressing Commands
show ip http,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Web Server Commands
show ip https,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Web Server Commands
show ip igmp counters,"['cbs_250', 'cbs_250', 'cbs_350', 'cbs_350', 'cat_1300', 'cat_1300']",IGMP Commands
show ip igmp filter,['cbs_220'],IGMP Snooping Commands
show ip igmp groups,"['cbs_250', 'cbs_350', 'cat_1300']",IGMP Commands
show ip igmp groups summary,"['cbs_250', 'cbs_350', 'cat_1300']",IGMP Commands
show ip igmp interface,"['cbs_250', 'cbs_350', 'cat_1300']",IGMP Commands
show ip igmp max-group,['cbs_220'],IGMP Snooping Commands
show ip igmp max-group action,['cbs_220'],IGMP Snooping Commands
show ip igmp profile,['cbs_220'],IGMP Snooping Commands
show ip igmp snooping,['cbs_220'],IGMP Snooping Commands
show ip igmp snooping forward-all,['cbs_220'],IGMP Snooping Commands
show ip igmp snooping groups,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",IGMP Snooping Commands
show ip igmp snooping interface,"['cbs_250', 'cbs_350', 'cat_1300']",IGMP Snooping Commands
show ip igmp snooping mrouter,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",IGMP Snooping Commands
show ip igmp snooping multicast-tv,"['cbs_250', 'cbs_350', 'cat_1300']",IGMP Snooping Commands
show ip igmp snooping querier,['cbs_220'],IGMP Snooping Commands
show ip igmp snooping vlan,['cbs_220'],IGMP Snooping Commands
show ip igmp-proxy interface,"['cbs_350', 'cat_1300']",IGMP Proxy Commands
show ip interface,"['cbs_250', 'cbs_350', 'cat_1300']",IP Addressing Commands
show ip mroute,"['cbs_350', 'cat_1300']",IPv4 IPM Router Commands
show ip multicast,"['cbs_350', 'cat_1300']",IPv4 IPM Router Commands
show ip protocols,"['cbs_250', 'cbs_350', 'cat_1300']",IP Routing Protocol-Independent Commands
show ip rip database,"['cbs_350', 'cat_1300']",RIP Commands
show ip rip peers,"['cbs_350', 'cat_1300']",RIP Commands
show ip route,"['cbs_250', 'cbs_350', 'cat_1300']",IP Routing Protocol-Independent Commands
show ip route summary,"['cbs_250', 'cbs_350', 'cat_1300']",IP Routing Protocol-Independent Commands
show ip source binding,['cbs_220'],IP Source Guard Commands
show ip ssh,"['cbs_250', 'cbs_350', 'cat_1300']","Telnet, SSH and Slogin Commands"
show ip ssh-client,"['cbs_250', 'cbs_350', 'cat_1300']",SSH Client Commands
show ip ssh-client server,"['cbs_250', 'cbs_350', 'cat_1300']",SSH Client Commands
show ip verify source interfaces,['cbs_220'],IP Source Guard Commands
show ipv6,['cbs_220'],IPv6 Addressing Commands
show ipv6 dhcp,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",DHCPv6 Commands
show ipv6 dhcp guard,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 dhcp guard policy,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 dhcp interface,"['cbs_250', 'cbs_350', 'cat_1300']",DHCPv6 Commands
show ipv6 first hop security,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 first hop security active policies,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 first hop security attached policies,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 first hop security counters,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 first hop security error counters,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 first hop security policy,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 interface,"['cbs_250', 'cbs_350', 'cat_1300']",IPv6 Commands
show ipv6 link-local default zone,"['cbs_250', 'cbs_350', 'cat_1300']",IPv6 Commands
show ipv6 mld counters,"['cbs_250', 'cbs_350', 'cat_1300']",MLD Commands
show ipv6 mld filter,['cbs_220'],IPv6 MLD Snooping Commands
show ipv6 mld groups,"['cbs_250', 'cbs_350', 'cat_1300']",MLD Commands
show ipv6 mld groups summary,"['cbs_250', 'cbs_350', 'cat_1300']",MLD Commands
show ipv6 mld interface,"['cbs_250', 'cbs_350', 'cat_1300']",MLD Commands
show ipv6 mld max-group,['cbs_220'],IPv6 MLD Snooping Commands
show ipv6 mld max-group action,['cbs_220'],IPv6 MLD Snooping Commands
show ipv6 mld profile,['cbs_220'],IPv6 MLD Snooping Commands
show ipv6 mld snooping,['cbs_220'],IPv6 MLD Snooping Commands
show ipv6 mld snooping forward-all,['cbs_220'],IPv6 MLD Snooping Commands
show ipv6 mld snooping groups,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",MLD Snooping Commands
show ipv6 mld snooping interface,"['cbs_250', 'cbs_350', 'cat_1300']",MLD Snooping Commands
show ipv6 mld snooping mrouter,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",MLD Snooping Commands
show ipv6 mld snooping vlan,['cbs_220'],IPv6 MLD Snooping Commands
show ipv6 mld-proxy interface,"['cbs_350', 'cat_1300']",MLD Proxy
show ipv6 mroute,"['cbs_350', 'cat_1300']",IPv6 IPM Router Commands
show ipv6 multicast,"['cbs_350', 'cat_1300']",IPv6 IPM Router Commands
show ipv6 nd inspection,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 nd inspection policy,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 nd prefix,"['cbs_250', 'cbs_350', 'cat_1300']",IPv6 Commands
show ipv6 nd raguard,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 nd raguard policy,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 neighbor binding,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 neighbor binding policy,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 neighbor binding prefix table,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 neighbor binding table,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 neighbors,"['cbs_250', 'cbs_350', 'cat_1300']",IPv6 Commands
show ipv6 prefix-list,"['cbs_250', 'cbs_350', 'cat_1300']",IPv6 Prefix List
show ipv6 route,"['cbs_250', 'cbs_350', 'cat_1300']",IPv6 Commands
show ipv6 route summary,"['cbs_250', 'cbs_350', 'cat_1300']",IPv6 Commands
show ipv6 source guard,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 source guard policy,"['cbs_350', 'cat_1300']",IPv6 First Hop Security
show ipv6 static,"['cbs_250', 'cbs_350', 'cat_1300']",IPv6 Commands
show ipv6 tunnel,"['cbs_250', 'cbs_350', 'cat_1300']",IPv6 Tunnel Commands
show iscsi,"['cbs_350', 'cat_1300']",iSCI QoS Commands
show key chain,"['cbs_250', 'cbs_350', 'cat_1300']",IP Routing Protocol-Independent Commands
show lacp,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",LACP Commands
show lacp port-channel,"['cbs_250', 'cbs_350', 'cat_1300']",LACP Commands
show line,"['cbs_220', 'cbs_350', 'cat_1300']",Line Commands
show line lists,['cbs_220'],AAA Commands
show link-flap prevention,"['cbs_250', 'cbs_350', 'cat_1300']",Ethernet Configuration Commands
show lldp,['cbs_220'],LLDP Commands
show lldp configuration,"['cbs_250', 'cbs_350', 'cat_1300']",LLDP Commands
show lldp interfaces,['cbs_220'],LLDP Commands
show lldp interfaces tlvs-overloading,['cbs_220'],LLDP Commands
show lldp local,"['cbs_250', 'cbs_350', 'cat_1300']",LLDP Commands
show lldp local tlvs-overloading,"['cbs_250', 'cbs_350', 'cat_1300']",LLDP Commands
show lldp local-device,['cbs_220'],LLDP Commands
show lldp med,['cbs_220'],LLDP Commands
show lldp med configuration,"['cbs_250', 'cbs_350', 'cat_1300']",LLDP Commands
show lldp neighbor,['cbs_220'],LLDP Commands
show lldp neighbors,"['cbs_250', 'cbs_350', 'cat_1300']",LLDP Commands
show lldp statistics,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",LLDP Commands
show logging,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",SYSLOG Commands
show logging file,"['cbs_250', 'cbs_350', 'cat_1300']",SYSLOG Commands
show login,"['cbs_250', 'cbs_350', 'cat_1300']",AAA Commands
show login failures,"['cbs_250', 'cbs_350', 'cat_1300']",AAA Commands
show loopback-detection,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Loopback Detection Commands
show mac address-table,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
show mac address-table aging-time,['cbs_220'],Address Table Commands
show mac address-table count,"['cbs_250', 'cbs_350', 'cat_1300']",Address Table Commands
show macro auto ports,"['cbs_250', 'cbs_350', 'cat_1300']",Smartport Commands
show macro auto processing,"['cbs_250', 'cbs_350', 'cat_1300']",Smartport Commands
show macro auto smart-macros,"['cbs_250', 'cbs_350', 'cat_1300']",Smartport Commands
show management access-class,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Management  ACL Commands
show management access-list,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']",Management  ACL Commands
