command,description
Interface Naming Conventions,"['Interface Naming Conventions', 'Interfaces on the device can be one of the following types: Gigabit Ethernet (10/100/1000 kbits) ports—These can be written as either GigabitEthernet or gi or GE. 2.5 Gigabit Ethernet (10/100/1000/25000 kbits) ports—These can be written as either TwoPointFiveGigabitEthernet or tw. 5 Gigabit Ethernet (10/100/1000/25000/50000 kbits) ports—These can be written as either FiveGigabitEthernet or fi. LAG (Port Channel)—Written as either Port-Channel or po. VLAN—Written as VLAN Tunnel—Written as tunnel or tu OOB—Written as OutOfBand or oob Within the CLI, interfaces are denoted by concatenating the following elements: Type of Interface—As described above Unit Number—Unit in stack. Slot Number—The slot number is always 0. The syntax for interface names in stacking mode is: {<port-type>[ ][<unit-number>/]<slot-number>/<port-number>} | {port-channel | po | }[ ]<port-channel-number> | {tunnel | tu}[ ]<tunnel-number> | vlan[ ]<vlan-id> Interface Number—Port, LAG, tunnel or VLAN numbers Samples of these various options are shown in the example below: switchxxxxxx(config) interface GigabitEthernet 1 switchxxxxxx(config) interface GE 1 switchxxxxxx(config) interface TwoPointFiveGigabitEthernet switchxxxxxx(config) interface po1 switchxxxxxx(config)  interface vlan 1 Interface Range Interfaces may be described on an individual basis or within a range. The interface range command has the following syntax: <interface-range> := {<port-type>[ ][<unit-number>/]<slot-number>/<first-port-number>[ - <last-port-number]} | port-channel[ ]<first-port-channel-number>[ - <last-port-channel-number>] | tunnel[ ]<first-tunnel-number>[ - <last-tunnel-number>] | vlan[ ]<first-vlan-id>[ - <last-vlan-id>] A sample of this command is shown in the example below: switchxxxxxx configure switchxxxxxx(config-if) interface range gi1-5g List of Multiple Interface Types A combination of interface types can be specified in the interface range command in the following format: <range-list> := <interface-range> | <range-list>, <interface-range> Up to five ranges can be included. Note Range lists can contain either ports and port-channels or VLANs. Combinations of port/port-channels and VLANs are not allowed. The space after the comma is optional. When a range list is defined, a space after the first entry and before the comma (,) must be entered.A sample of this command is shown in the example below:switchxxxxxx configure switchxxxxxx(config) interface range gi1-5, vlan 1-2']"
IPv6z Address Conventions,"['IPv6z Address Conventions', 'The following describes how to write an IPv6z address, which is a link-local IPv6 address. The format is: <ipv6-link-local-address>%<egress-interface> where: egress-interface (also known as zone) = vlan<vlan-id> | po<number> | tunnel<number> | port<number> | 0 If the egress interface is not specified, the default interface is selected. Specifying egress interface = 0 is equal to not defining an egress interface. The following combinations are possible: ipv6_address%egress-interface—Refers to the IPv6 address on the interface specified. ipv6_address%0—Refers to the IPv6 address on the single interface on which an IPv6 address is defined. ipv6_address—Refers to the IPv6 address on the single interface on which an IPv6 address is defined.']"
Loopback Interface,"['Loopback Interface', 'When an IP application on a router wants to communicate with a remote IP application, it must select the local IP address to be used as its IP address. It can use any IP address defined on the router, but if this link goes down, the communication is aborted, even though there might well be another IP route between these IP applications. The loopback interface is a virtual interface whose operational state is always up. If the IP address that is configured on this virtual interface is used as the local address when communicating with remote IP applications, the communication will not be aborted even if the actual route to the remote application was changed. The name of the loopback interface is loopback1. A loopback interface does not support bridging; it cannot be a member of any VLAN, and no layer 2 protocol can be enabled on it. Layer 3 Specification IP Interface IPv4 and IPv6 addresses can be assigned to a loopback interface. The IPv6 link-local interface identifier is 1. Routing Protocols A routing protocol running on the switch supports the advertising of the IP prefixes defined on the loopback interfaces via the routing protocol redistribution mechanism. Configuration Examples Static RoutingThe following example shows you how to configure IP on a switch with static routing:Switch  configure terminal Switch(config)  interface vlan 1 Switch(config-if)  ip address 10.10.10.2 /24 Switch(config-if)  ipv6 address 2001:DB8:2222:7270:2312/64 Switch(config-if)  exit Switch(config)  interface vlan 2 Switch(config-if)  ip address 10.11.11.2 /24 Switch(config-if)  ipv6 address 2001:DB8:3333:7271:2312/64 Switch(config-if)  exit Switch(config)  interface loopback 1 Switch(config-if)  ip address 172.25.13.2 /32 Switch(config-if)  ipv6 address 2001:DB8:2222:7272:72/128 Switch(config-if)  exit Switch(config)  ip route 0.0.0.0/0 10.10.11.1 Switch(config)  ip route 10.11.0.0 /16 10.11.11.1 Switch(config)  ipv6 route 0:/0 2001:DB8:2222:7270:1 Switch(config)  ipv6 route 2001:DB8:3333:/48 2001:DB8:3333:7271:1The neighbor router 10.10.11.1 should be configured with the following static route: ip route 172.25.13.2 /32 10.10.10.2. The neighbor router 10.11.11.1 should be configured with the following static route: ip route 172.25.13.2 /32 10.11.11.2. The neighbor router 2001:DB8:2222:7270:1 connected to VLAN 1 should be configured with the following static route: ipv6 route 2001:DB8:2222:7272:72/128 2001:DB8:2222:7270:2312 The neighbor router 2001:DB8:3333:7271:1 connected to VLAN 1 should be configured with the static route defined immediately below. IPv6 Route 2001:DB8:2222:7272:72/128 2001:DB8:3333:7271:2312']"
Managing Ports Via CLI,"['Managing Ports Via CLI', 'To access a port interface on units that support stacking, type “interfaceGigabitEthernetX/0/Z (for 1gig interfaces), or “interface TenGigabitEthernetX/0/Y for 10gig ports with X (1-4) being the stack ID, Y for the uplink ports number (1-4), and Z for the downlink port number; Z is between 1- 48 even for the units that have less than 48 ports. Fiber cable and Transceivers Cisco brand provides a panoply a SFP modules, while our switches support other 3rd party, it is important to pay attention on the type of fiber cable to use in conjunction with the specific SFP module. Fiber cables can be classified in two types: Single Mode and Multimode. The main difference is the distance they are capable of covering and their diameter. Single Mode fibers cover greater distance compared to Multimode and has lower diameter (around 9 micrometer) while the Multimode fibers diameter is 50-62.5 micrometer. DAC cables for Direct Attach Copper Cable, on the other hand, can be used for short distances. They are mainly based on the Multimode-Standard type of transceivers due to the fact that the max distance they can cover is 15m. The AOC (Active Optical Cable), however, is a different story. When troubleshooting fiber connectivity related issues, it is important to make a distinction between SMF (Single Mode Fiber cables), and MMF (Multimode Fiber cables) and their corresponding SFP transceivers a given fiber can support. Cisco has matrix that we can refer to when trying to make a determination of the correct pairing. The following link provide some insight on Cisco 10gig SFP Example: The Cisco SFP-10G-SR only works with MMF type of cable of 62.5 micrometer diameter, while the Cisco SFP-10G-LR works only with SMF type of cable. The MMF range from OM1-OM5. OM is for Optical Multimode. OM1 type cables have a diameter of 62.5 micrometer, while all other types (OM2-OM5) have a diameter of 50 micrometer. So, it is important to know what is being done to avoid mixing them up.', 'Related Informationhttps:/www.cisco.com/c/en/us/products/collateral/interfaces-modules/transceiver-modules/data_sheet_c78-455693.pdf']"
Remote IP Address and OOB Port,"['Remote IP Address and OOB Port', 'The switch supports an IP stack on the OutOfBand (OOB) port. This IP stack is separate from the IP stack running on the ASIC ports, and it requires specific route table configuration If the switch supports more than one IP interface, when you specify a remote IP address or a DNS name, you must also specify the IP stack that is being referred to.']"
PHY Diagnostics,"['PHY Diagnostics', 'The following exceptions exist: Copper Ports—PHY diagnostics are only supported on copper ports. 10G ports—TDR test is supported when the operational port speed is 10G. Cable length resolution is 20 meters.']"
CLI Output Modifiers,"['CLI Output Modifiers', 'To all show and more commands (except show technical support) an output modifier may be added as follows: <show/more command> | <output-modifier> <regular-expression-pattern> The output modifiers are: begin: Start output from the first line that has a sequence of characters matching thegiven regular expression pattern include: Includes only lines that have a sequence of characters matching the given regular expression pattern. exclude: Excludes all lines that have a sequence of characters matching the given regular expression pattern. count: Counts all lines that have a sequence of characters matching the given regular expression pattern and displays the result (no other output is displayed). Note Only 1 output modifier can be used in each command. The remainder of the text typed in is part of the regular expression pattern. A regular expression is a pattern (a phrase, number, or more complex pattern). The CLI String Search feature matches regular expressions to the show or more command output. Regular expressions are case-sensitive and allow for complex matching requirements. A regular expression can be a single-character pattern or a multiple-character pattern. That is, a regular expression can be a single character that matches the same single character in the command output or multiple characters that match the same multiple characters in the command output. The pattern in the command output is referred to as a string. This section describes creating both single-character patterns and multiple-character patterns. It also discusses creating more complex regular expressions, using multipliers, alternation, anchoring, and parentheses. Single-Character Patterns The simplest regular expression is a single character that matches the same single character in the command output. You can use any letter (A-Z, a-z) or digit (0-9) as a single-character pattern. You can also use other keyboard characters (such as ! or ~) as single-character patterns, but certain keyboard characters have special meaning when used in regular expressions. The following table lists the keyboard characters that have special meanings Character Meaning . Matches any single character, including white space. * Matches 0 or more sequences of the pattern. + Matches 1 or more sequences of the pattern. ? Matches 0 or 1 occurrences of the pattern. ^ Matches the beginning of the string. $ Matches the end of the string. To use these special characters as single-character patterns, remove the special meaning by preceding each character with a backslash (). The following examples are single-character patterns matching a dollar sign, an underscore, and a plus sign, respectively. $ _ + You can specify a range of single-character patterns to match against command output. For example, you can create a regular expression that matches a string containing one of the following letters: a, e, i, o, or u. Only one of these characters must exist in the string for pattern matching to succeed. To specify a range of single-character patterns, enclose the single-character patterns in square brackets ([ ]). For example, [aeiou] matches any one of the five vowels of the lowercase alphabet, while [abcdABCD] matches any one of the first four letters of the lower- or uppercase alphabet. You can simplify ranges by entering only the endpoints of the range separated by a dash (-). Simplify the previous range as follows: [a-dA-D] To add a dash as a single-character pattern in your range, include another dash and precede it with a backslash: [a-dA-D-] You can also include a right square bracket (]) as a single-character pattern in your range, as shown here: [a-dA-D-] The previous example matches any one of the first four letters of the lower- or uppercase alphabet, a dash, or a right square bracket. You can reverse the matching of the range by including a caret (^) at the start of the range. The following example matches any letter except the ones listed: [^a-dqsv] The following example matches anything except a right square bracket (]) or the letter d: [^]d] Multiple-Character Patterns When creating regular expressions, you can also specify a pattern containing multiple characters. You create multiple-character regular expressions by joining letters, digits, or keyboard characters that do not have special meaning. For example, a4% is a multiple-character regular expression. With multiple-character patterns, order is important. The regular expression a4% matches the character a followed by a 4 followed by a % sign. If the string does not have a4%, in that order, pattern matching fails. The multiple-character regular expression a. uses the special meaning of the period character to match the letter a followed by any single character. With this example, the strings ab, a!, or a2 are all valid matches for the regular expression. You can remove the special meaning of the period character by inserting a backslash before it. For example, when the expression a. is used in the command syntax, only the string a. will be matched. You can create a multiple-character regular expression containing all letters, all digits, all keyboard characters, or a combination of letters, digits, and other keyboard characters. For example, telebit 3107 v32bis is a valid regular expression. Multipliers You can create more complex regular expressions that instruct the system to match multiple occurrences of a specified regular expression. To do so, use some special characters with your single-character and multiple-character patterns. Table 1 lists the special characters that specify multiples of a regular expression. Table 1. Table 1: Special Characters Used as Multipliers Character Description * Matches 0 or more single-character or multiple-character patterns. + Matches 1 or more single-character or multiple-character patterns. ? Matches 0 or 1 occurrences of a single-character or multiple-character pattern. The following example matches any number of occurrences of the letter a, including none: a* The following pattern requires that at least one letter a be in the string to be matched: a+ The following pattern matches the string bb or bab: ba?b The following string matches any number of asterisks (*): * To use multipliers with multiple-character patterns, enclose the pattern in parentheses. In the following example, the pattern matches any number of the multiple-character string ab: (ab)* The following pattern matches one or more instances of alphanumeric pairs, but not none (that is, an empty string is not a match): ([A-Za-z][0-9])+ The order for matches using multipliers (*, +, or ?) is to put the longest construct first. Nested constructs are matched from outside to inside. Concatenated constructs are matched beginning at the left side of the construct. Thus, the regular expression above matches A9b3, but not 9Ab3 because the letters are specified before the numbers. Alternation Alternation allows you to specify alternative patterns to match against a string. You separate the alternative patterns with a vertical bar (|). Only one of the alternatives can match the string. For example, the regular expression codex|telebit either matches the string codex or the string telebit, but not both codex and telebit. Anchoring You can instruct the system to match a regular expression pattern against the beginning or the end of the string. You anchor these regular expressions to a portion of the string using the special characters shown in Table 2. Table 2. Table 2: Special Characters Used for Anchoring Character Description ^ Matches the beginning of the string. $ Matches the end of the string. For example, the regular expression ^con matches any string that starts with con, and $sole matches any string that ends with sole. In addition to indicating the beginning of a string, the ^ symbol can be used to indicate the logical function not when used in a bracketed range. For example, the expression [^abcd] indicates a range that matches any single letter, as long as it is not the letters a, b, c, or d.']"
aaa authentication dot1x,"To specify which servers are used for authentication when 802.1X authentication is enabled, use the aaa authentication dot1x command in Global Configuration mode. To restore the default configuration, use the no form of this command."
authentication open,"To enable open access (monitoring mode) on this port, use the authentication open command in Interface Configuration mode. To disable open access on this port, use the no form of this command."
clear dot1x statistics,"To clear 802.1X statistics, use the clear dot1x statistics command in Privileged EXEC mode."
data,"To specify web-based page customizing, the data command is used in Web-Based Page Customization Configuration mode."
description 802.1x,"To specify a description for an 802.1X credential structure, use the description command in Dot1x credentials configuration mode. To remove the description, use the no form of this command."
dot1x auth-not-req,"To enable unauthorized devices access to a VLAN, use the dot1x auth-not-req command in Interface (VLAN) Configuration mode. To disable access to a VLAN, use the no form of this command."
dot1x authentication,"To enable authentication methods on a port, use the dot1x authentication command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x credentials,"To define the name of an 802.1X credential structure and enter the Dot1x credentials configuration mode, use the dot1x credentials command in Global Configuration mode. To remove the credential structure, use the no form of this command."
dot1x eap-max-retrans,"To set the EAP maximum number retransmissions, use the dot1x eap-max-retrans command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x guest-vlan,"To define a guest VLAN, use the dot1x guest-vlan mode command in Interface (VLAN) Configuration mode. To restore the default configuration, use the no form of this command."
dot1x guest-vlan enable,"To enable unauthorized users on the access interface to the guest VLAN, use the dot1x guest-vlan enable command in Interface Configuration mode. To disable access, use the no form of this command."
dot1x guest-vlan timeout,"To set the time delay between enabling 802.1X (or port up) and adding a port to the guest VLAN, use the dot1x guest-vlan timeout command in Global Configuration mode. To restore the default configuration, use the no form of this command."
dot1x host-mode,"To allow a single host (client) or multiple hosts on an IEEE 802.1X-authorized port, use the dot1x host-mode command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x max-hosts,"To configure the maximum number of authorized hosts allowed on the interface, use the dot1x max-hosts command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x max-login-attempts,"To set the maximum number of allowed login attempts, use the dot1x max-login-attempts command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x max-req,"To set the maximum number of times that the device sends an Extensible Authentication Protocol (EAP) request/identity frame (assuming that no response is received) to the client before restarting the authentication process, use the dot1x max-req command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x page customization,"To enter Web-Based Page Customization Configuration mode, use the dot1x page customization command in Global Configuration mode."
dot1x port-control,"To enable manual control of the port authorization state, use the dot1x port-control command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x radius-attributes vlan,"To enable RADIUS-based VLAN assignment, use the dot1x radius-attributes vlan command in Interface Configuration mode. To disable RADIUS-based VLAN assignment, use the no form of this command."
dot1x re-authenticate,"To initiate manually re-authentication of all 802.1X-enabled ports or the specified 802.1X-enabled port, use the dot1x re-authenticate command in Privileged EXEC mode."
dot1x reauthentication,"To enable periodic re-authentication of the client, use the dot1x reauthentication command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x supplicant,"To enable the dot1x supplicant role for a given interface, use the dot1x supplicant command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x supplicant traps authentication failure,"To enable sending traps when an 802.1X supplicant authentication fails, use the dot1x supplicant traps authentication failure command in Global Configuration mode. To restore the default configuration, use the no form of this command."
dot1x supplicant traps authentication success,"To enable sending traps when an 802.1X supplicant authentication is succeeded, use the dot1x supplicant traps authentication success command in Global Configuration mode. To restore the default configuration, use the no form of this command."
dot1x system-auth-control,"To enable 802.1X globally, use the dot1x system-auth-control command in Global Configuration mode. To restore the default configuration, use the no form of this command."
dot1x timeout eap-timeout,"To set the EAP timeout, use the dot1x timeout eap-timeout command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x timeout quiet-period,"To set the time interval that the device remains in a quiet state following a failed authentication exchange, use the dot1x timeout quiet-period command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x timeout reauth-period,"To set the number of seconds between re-authentication attempts, use the dot1x timeout reauth-period command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x timeout server-timeout,"To set the time interval during which the device waits for a response from the authentication server, use the dot1x timeout server-timeout command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x timeout silence-period,"To set the authentication silence time, use the dot1x timeout silence-period command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x timeout supp-timeout,"To set the time interval during which the device waits for a response to an Extensible Authentication Protocol (EAP) request frame from the client before resending the request, use the dot1x timeout supp-timeout command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x timeout supplicant-held-period,"To set the time period during which the supplicant waits before restarting authentication after receiving the FAIL response from the Radius server, use the dot1x timeout supplicant-held-period command in Interface Configuration mode. To restore the default configuration, use the no form of this command"
dot1x timeout tx-period,"To set the time interval during which the device waits for a response to an Extensible Authentication Protocol (EAP) request/identity frame from the client before resending the request, use the dot1x timeout tx-period command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
dot1x traps authentication failure,"To enable sending traps when an 802.1X authentication method failed, use the dot1x traps authentication failure command in Global Configuration mode. To restore the default configuration, use the no form of this command."
dot1x traps authentication quiet,"To enable sending traps when a host state is set to the quiet state after failing the maximum sequential attempts of login, use the dot1x traps authentication quiet command in Global Configuration mode. To disable the traps, use the no form of this command."
dot1x traps authentication success,"To enable sending traps when a host is successfully authorized by an 802.1X authentication method, use the dot1x traps authentication success command in Global Configuration mode. To disable the traps, use the no form of this command."
dot1x unlock client,"To unlock a locked (in the quiet period) client, use the dot1x unlock client command in Privileged EXEC mode."
dot1x violation-mode,"To configure the action to be taken when an unauthorized host on authorized port in single-host mode attempts to access the interface, use the dot1x violation-mode command in Interface Configuration mode. To restore the default configuration, use the no form of this command."
password,"To specify a password for an 802.1X credential structure, use the password command in Dot1x credentials configuration mode. To remove the password, use the no form of this command."
show dot1x,"To display the 802.1X interfaces or specified interface status, use the show dot1x command in Privileged EXEC mode."
show dot1x credentials,"To display 802.1X credentials, use the show dot1x credentials mode command in Privileged EXEC mode."
show dot1x locked clients,"To display all clients who are locked and in the quiet period, use the show dot1x locked clients command in Privileged EXEC mode."
show dot1x statistics,"To display 802.1X statistics for the specified port, use the show dot1x statistics command in Privileged EXEC mode."
show dot1x users,"To display active 802.1X authorized users for the device, use the show dot1x users command in Privileged EXEC mode."
username (dot1x credentials),"To specify a username for an 802.1X credential structure, use the username command in Dot1x credentials configuration mode. To remove the username, use the no form of this command."
ip access-list (IP extended),Use the ip access-list extended Global Configuration mode command to name an IPv4 access list (ACL) and to place the device in IPv4 Access List Configuration mode. All commands after this command refer to this ACL. The rules (ACEs) for this ACL are defined in the permit ( IP ) and deny ( IP ) commands. The service-acl input command is used to attach this ACL to an interface. Use the no form of this command to remove the access list.
permit ( IP ),Use the permit IP Access-list Configuration mode command to set permit conditions for an IPv4 access list (ACL). Permit conditions are also known as access control entries (ACEs). Use the no form of the command to remove the access control entry.
deny ( IP ),Use the deny IP Access-list Configuration mode command to set deny conditions for IPv4 access list. Deny conditions are also known as access control entries (ACEs). Use the no form of the command to remove the access control entry.
ipv6 access-list (IPv6 extended),Use the ipv6 access-list Global Configuration mode command to define an IPv6 access list (ACL) and to place the device in Ipv6 Access-list Configuration mode. All commands after this command refer to this ACL. Use the no form of this command to remove the access list.
permit ( IPv6 ),Use the permit command in Ipv6 Access-list Configuration mode to set permit conditions (ACEs) for IPv6 ACLs. Use the no form of the command to remove the access control entry.
deny ( IPv6 ),Use the deny command in Ipv6 Access-list Configuration mode to set deny conditions (ACEs) for IPv6 ACLs. Use the no form of the command to remove the access control entry.
mac access-list,Use the mac access-list Global Configuration mode command to define a Layer 2 access list (ACL) based on source MAC address filtering and to place the device in MAC Access-list Configuration mode. All commands after this command refer to this ACL. Use the no form of this command to remove the access list.
permit ( MAC ),Use the permit command in MAC Access-list Configuration mode to set permit conditions (ACEs) for a MAC ACL. Use the no form of the command to remove the access control entry.
deny (MAC),Use the deny command in MAC Access-list Configuration mode to set deny conditions (ACEs) for a MAC ACL. Use the no form of the command to remove the access control entry.
service-acl input,Use the service-acl input command in Interface Configuration mode to bind an access list(s) (ACL) to an interface. Use the no form of this command to remove all ACLs from the interface.
service-acl output,Use the service-acl output command in Interface Configuration mode to control access to an interface on the egress (transmit path). Use the no form of this command to remove the access control.
time-range,"Use the time-range Global Configuration mode command to define time ranges for different functions. In addition, this command enters the Time-range Configuration mode. All commands after this one refer to the time-range being defined. This command sets a time-range name. Use the absolute and periodic commands to actually configure the time-range. Use the no form of this command to remove the time range from the device."
absolute,Use the absolute Time-range Configuration mode command to specify an absolute time when a time range is in effect. Use the no form of this command to remove the time limitation.
periodic,Use the periodic Time-range Configuration mode command to specify a recurring (weekly) time range for functions that support the time-range feature. Use the no form of this command to remove the time limitation.
show time-range,Use the show time-range User EXEC mode command to display the time range configuration.
show access-lists,Use the show access-lists Privileged EXEC mode command to display access control lists (ACLs) configured on the switch.
clear access-lists counters,Use the clear access-lists counters Privileged EXEC mode command to clear access-lists (ACLs) counters.
show interfaces access-lists trapped packets,Use the show interfaces access-lists trapped packets Privileged EXEC mode command to display Access List (ACLs) trapped packets.
ip access-list (IP standard),Use the ip access-list Global Configuration mode command to define an IP standard list. The no format of the command removes the list.
ipv6 access-list (IP standard),The ipv6 access-list Global Configuration mode command defines an IPv6 standard list. The no format of the command removes the list.
bridge multicast filtering,"To enable the filtering of Multicast addresses, use the bridge multicast filtering Global Configuration mode command. To disable Multicast address filtering, use the no form of this command."
bridge multicast mode,"To configure the Multicast bridging mode, use the bridge multicast mode Interface (VLAN) Configuration mode command. To return to the default configuration, use the no form of this command."
bridge multicast address,"To register a MAC-layer Multicast address in the bridge table and statically add or remove ports to or from the group, use the bridge multicast address Interface (VLAN) Configuration mode command. To unregister the MAC address, use the no form of this command."
bridge multicast forbidden address,"To forbid adding or removing a specific Multicast address to or from specific ports, use the bridge multicast forbidden address IInterface (VLAN) Configuration mode command. To restore the default configuration, use the no form of this command."
bridge multicast ip-address,"To register IP-layer Multicast addresses to the bridge table, and statically add or remove ports to or from the group, use the bridge multicast ip-address IInterface (VLAN) Configuration mode command. To unregister the IP address, use the no form of this command."
bridge multicast forbidden ip-address,"To forbid adding or removing a specific IP Multicast address to or from specific ports, use the bridge multicast forbidden ip-address Interface (VLAN) Configuration mode command. To restore the default configuration, use the no form of this command."
bridge multicast source group,"To register a source IP address - Multicast IP address pair to the bridge table, and statically add or remove ports to or from the source-group, use the bridge multicast source group Interface (VLAN) Configuration mode command. To unregister the source-group-pair, use the no form of this command."
bridge multicast forbidden source group,"To forbid adding or removing a specific IP source address - Multicast address pair to or from specific ports, use the bridge multicast forbidden source group IInterface (VLAN) Configuration mode command. To return to the default configuration, use the no form of this command."
bridge multicast ipv6 mode,"To configure the Multicast bridging mode for IPv6 Multicast packets, use the bridge multicast ipv6 mode Interface (VLAN) Configuration mode command. To return to the default configuration, use the no form of this command."
bridge multicast ipv6 ip-address,"To register an IPv6 Multicast address to the bridge table, and statically add or remove ports to or from the group, use the bridge multicast ipv6 ip-address Interface (VLAN) Configuration mode command. To unregister the IPv6 address, use the no form of this command."
bridge multicast ipv6 forbidden ip-address,"To forbid adding or removing a specific IPv6 Multicast address to or from specific ports, use the bridge multicast ipv6 forbidden ip-address Interface (VLAN) Configuration mode command. To restore the default configuration, use the no form of this command."
bridge multicast ipv6 source group,"To register a source IPv6 address - Multicast IPv6 address pair to the bridge table, and statically add or remove ports to or from the source-group, use the bridge multicast ipv6 source group Interface (VLAN) Configuration mode command. To unregister the source-group-pair, use the no form of this command."
bridge multicast ipv6 forbidden source group,"To forbid adding or removing a specific IPv6 source address - Multicast address pair to or from specific ports, use the bridge multicast ipv6 forbidden source group Interface (VLAN) Configuration mode command. To return to the default configuration, use the no form of this command."
bridge multicast unregistered,"To configure forwarding unregistered Multicast addresses, use the bridge multicast unregistered Interface (Ethernet, Port Channel) Configuration mode command. To restore the default configuration, use the no form of this command."
bridge multicast forward-all,"To enable forwarding all multicast packets for a range of ports or port channels, use the bridge multicast forward-all Interface (VLAN) Configuration mode command. To restore the default configuration, use the no form of this command."
bridge multicast forbidden forward-all,"To forbid a port to dynamically join Multicast groups, use the bridge multicast forbidden forward-all Interface (VLAN) Configuration mode command. To restore the default configuration, use the no form of this command."
bridge unicast unknown,"To enable egress filtering of Unicast packets where the destination MAC address is unknown to the device, use the bridge unicast unknown Interface (Ethernet, Port Channel) Configuration mode command. To restore the default configuration, use the no form of this command."
show bridge unicast unknown,"To display the unknown Unicast filtering configuration, use the show bridge unicast unknown Privileged EXEC mode command."
mac address-table static,"To add a MAC-layer station source address to the MAC address table, use the mac address-table static Global Configuration mode command. To delete the MAC address, use the no form of this command."
clear mac address-table,"To remove learned or secure entries from the forwarding database (FDB), use the clear mac address-table Privileged EXEC mode command."
mac address-table aging-time,"To set the aging time of the address table, use the mac address-table aging-time Global configuration command. To restore the default, use the no form of this command."
port security,"To enable port security learning mode on an interface, use the port security Interface (Ethernet, Port Channel) Configuration mode command. To disable port security learning mode on an interface, use the no form of this command."
port security mode,"To configure the port security learning mode, use the port security mode Interface (Ethernet, Port Channel) Configuration mode command. To restore the default configuration, use the no form of this command."
port security max,"To configure the maximum number of addresses that can be learned on the port while the port is in port, max-addresses or secure mode, use the port security max Interface (Ethernet, Port Channel) Configuration mode command. To restore the default configuration, use the no form of this command."
port security routed secure-address,"To add a MAC-layer secure address to a routed port. (port that has an IP address defined on it), use the port security routed secure-address Interface (Ethernet, Port Channel) Configuration mode command. To delete a MAC address from a routed port, use the no form of this command."
show mac address-table,"To display entries in the MAC address table, use the show mac address-table Privileged EXEC mode command."
show mac address-table count,"To display the number of addresses present in the Forwarding Database, use the show mac address-table count Privileged EXEC mode command."
show bridge multicast mode,"To display the Multicast bridging mode for all VLANs or for a specific VLAN, use the show bridge multicast mode Privileged EXEC mode command."
show bridge multicast address-table,"To display Multicast MAC addresses or IP Multicast address table information, use the show bridge multicast address-table Privileged EXEC mode command."
show bridge multicast address-table static,"To display the statically-configured Multicast addresses, use the show bridge multicast address-table static Privileged EXEC mode command."
show bridge multicast filtering,"To display the Multicast filtering configuration, use the show bridge multicast filtering Privileged EXEC mode command."
bridge multicast unregistered,"To configure forwarding unregistered Multicast addresses, use the bridge multicast unregistered Interface (Ethernet, Port Channel) Configuration mode command. To restore the default configuration, use the no form of this command."
show ports security,"To display the port-lock status, use the show ports security Privileged EXEC mode command."
show ports security addresses,"To display the current dynamic addresses in locked ports, use the show ports security addresses Privileged EXEC mode command."
bridge multicast reserved-address,"To define the action on Multicast reserved-address packets, use the bridge multicast reserved-address Global Configuration mode command. To revert to default, use the no form of this command."
show bridge multicast reserved-addresses,"To display the Multicast reserved-address rules, use the show bridge multicast reserved-addresses Privileged EXEC mode command."
aaa authentication login,Use the aaa authentication login Global Configuration mode command to set one or more authentication methods to be applied during login. Use the no form of this command to restore the default authentication method.
aaa authentication enable,"The aaa authentication enable Global Configuration mode command sets one or more authentication methods for accessing higher privilege levels. To restore the default authentication method, use the no form of this command."
login authentication,The login authentication Line Configuration mode command specifies the login authentication method list for a remote Telnet or console session. Use the no form of this command to restore the default authentication method.
enable authentication,The enable authentication Line Configuration mode command specifies the authentication method for accessing a higher privilege level from a remote Telnet or console. Use the no form of this command to restore the default authentication method.
ip http authentication,The ip http authentication Global Configuration mode command specifies authentication methods for HTTP server access. Use the no form of this command to restore the default authentication method.
show authentication methods,The show authentication methods Privileged EXEC mode command displays information about the authentication methods.
Login Block-for,Use the following global configuration mode command to configure a quiet mode period followed specified number of failed login attempts. Use the no form of command to return to default settings:
Login Block-for,Use the following global configuration mode command to configure a quiet mode period followed specified number of failed login attempts. Use the no form of command to return to default settings:
login delay,Use the login delay Global Configuration mode command to configure a delay in device response to a failed login attempts. Use the no form of this command to return to the default setting.
login quiet-mode access-class,Use the login quiet-mode access-class Global Configuration mode command to to specify a management access control list (MACL) that will be applied when the device transitions to the login quiet-mode. Use the no form of this command to return to the default setting.
show login,Use the following privileged exec mode command to display login setting and status:
show login failures,Use the following privileged exec mode command to display information on failed login attempts:
password,"Use the password Line Configuration mode command to specify a password on a line (also known as an access method, such as a console or Telnet). Use the no form of this command to return to the default password."
