command,syntax
clear ipv6 first hop security error counters,['clear ipv6 first hop security error counters']
clear ipv6 neighbor binding prefix table,['clear ipv6 neighbor binding prefix table [vlan vlan-id] [prefix-address/prefix-length]']
clear ipv6 neighbor binding table,['clear ipv6 neighbor binding table [vlan vlan-id] [interface interface-id] [ipv6 ipv6-address] [mac mac-address] [ndp | dhcp]']
device-role (IPv6 DHCP Guard),"['device-role {client | server}', 'no device-role']"
device-role (Neighbor Binding),"['device-role {perimeter | internal}', 'no device-role']"
device-role (RA Guard Policy),"['device-role {host | router}', 'no device-role']"
device-role (ND Inspection Policy),"['device-role {host | router}', 'no device-role']"
drop-unsecure,"['drop-unsecure [enable | disable]', 'no drop-unsecure']"
hop-limit,"['hop-limit {[maximum {value | disable}] [minimum {value | disable}]}', 'no hop-limit [maximum] [minimum]']"
ipv6 dhcp guard,"['ipv6 dhcp guard', 'no ipv6 dhcp guard']"
ipv6 dhcp guard attach-policy (port mode),"['ipv6 dhcp guard attach-policy policy-name [vlan vlan-list]', 'no ipv6 dhcp guard attach-policy [policy-name]']"
ipv6 dhcp guard attach-policy (VLAN mode),"['ipv6 dhcp guard attach-policy policy-name', 'no ipv6 dhcp guard attach-policy']"
ipv6 dhcp guard policy,"['ipv6 dhcp guard policy policy-name', 'no ipv6 dhcp guard policy policy-name']"
ipv6 dhcp guard preference,"['ipv6 dhcp guard preference {[maximum value] [minimum value]}', 'no ipv6 dhcp guard preference [maximum] [minimum]']"
ipv6 first hop security,"['ipv6 first hop security', 'no ipv6 first hop security']"
ipv6 first hop security attach-policy (port mode),"['ipv6 first hop security attach-policy policy-name [vlan vlan-list]', 'no ipv6 first hop security attach-policy [policy-name]']"
ipv6 first hop security attach-policy (VLAN mode),"['ipv6 first hop security attach-policy policy-name', 'no ipv6 first hop security attach-policy']"
ipv6 first hop security logging packet drop,"['ipv6 first hop security logging packet drop', 'no ipv6 first hop security logging packet drop']"
ipv6 first hop security policy,"['ipv6 first hop security policy policy-name', 'no ipv6 first hop security policy policy-name']"
ipv6 nd inspection,"['ipv6 nd inspection', 'no ipv6 nd inspection']"
ipv6 nd inspection attach-policy (port mode),"['ipv6 nd inspection attach-policy policy-name [vlan vlan-list]', 'no ipv6 nd inspection attach-policy [policy-name]']"
ipv6 nd inspection attach-policy (VLAN mode),"['ipv6 nd inspection attach-policy policy-name', 'no ipv6 nd inspection attach-policy']"
ipv6 nd inspection drop-unsecure,"['ipv6 nd inspection drop-unsecure', 'no ipv6 nd inspection drop-unsecure']"
ipv6 nd inspection policy,"['ipv6 nd inspection policy policy-name', 'no ipv6 nd inspection policy policy-name']"
ipv6 nd inspection sec-level minimum,"['ipv6 nd inspection sec-level minimum value', 'no ipv6 nd inspection sec-level minimum']"
ipv6 nd inspection validate source-mac,"['ipv6 nd inspection validate source-mac', 'no ipv6 nd inspection validate source-mac']"
ipv6 nd raguard,"['ipv6 nd raguard', 'no ipv6 nd raguard']"
ipv6 nd raguard attach-policy (port mode),"['ipv6 nd raguard attach-policy policy-name [vlan vlan-list]', 'no ipv6 nd raguard attach-policy [policy-name]']"
ipv6 nd raguard attach-policy (VLAN mode),"['ipv6 nd raguard attach-policy policy-name', 'no ipv6 nd raguard attach-policy']"
ipv6 nd raguard hop-limit,"['ipv6 nd raguard hop-limit {[maximum value] [minimum value]}', 'no ipv6 nd raguard hop-limit [maximum] [minimum]']"
ipv6 nd raguard managed-config-flag,"['ipv6 nd raguard managed-config-flag {on | off}', 'no ipv6 nd raguard managed-config-flag']"
ipv6 nd raguard other-config-flag,"['ipv6 nd raguard other-config-flag {on | off}', 'no ipv6 nd raguard other-config-flag']"
ipv6 nd raguard policy,"['ipv6 nd raguard policy policy-name', 'no ipv6 nd raguard policy policy-name']"
ipv6 nd raguard router-preference,"['ipv6 nd raguard router-preference {[maximum value] [minimum value]}', 'no ipv6 nd raguard router-preference [maximum] [minimum]']"
ipv6 neighbor binding,"['ipv6 neighbor binding', 'no ipv6 neighbor binding']"
ipv6 neighbor binding address-config,"['ipv6 neighbor binding address-config [stateless | any] [dhcp]', 'no ipv6 neighbor binding address-config']"
ipv6 neighbor binding address-prefix,"['ipv6 neighbor binding address-prefix vlan vlan-id ipv6-prefix/prefix-length [autoconfig]', 'no ipv6 neighbor binding address-prefix [vlan vlan-id] [ipv6-prefix/prefix-length]']"
ipv6 neighbor binding address-prefix-validation,"['ipv6 neighbor binding address-prefix-validation', 'no ipv6 neighbor binding address-prefix-validation']"
ipv6 neighbor binding attach-policy (port mode),"['ipv6 neighbor binding attach-policy policy-name [vlan vlan-list]', 'no ipv6 neighbor binding attach-policy [policy-name]']"
ipv6 neighbor binding attach-policy (VLAN mode),"['ipv6 neighbor binding attach-policy policy-name', 'no ipv6 neighbor binding attach-policy']"
ipv6 neighbor binding lifetime,"['ipv6 neighbor binding lifetime value', 'no ipv6 neighbor binding lifetime']"
ipv6 neighbor binding max-entries,"['ipv6 neighbor binding max-entries {[vlan-limit number] [interface-limit number] [mac-limit number]}', 'no ipv6 neighbor binding max-entries [vlan-limit] [interface-limit] [mac-limit]']"
ipv6 neighbor binding policy,"['ipv6 neighbor binding policy policy-name', 'no ipv6 neighbor binding policy policy-name']"
ipv6 neighbor binding static,"['ipv6 neighbor binding static ipv6 ipv6-address vlan vlan-id interface interface-id mac mac-address', 'no ipv6 neighbor binding static ipv6 ipv6-address vlan vlan-id']"
ipv6 source guard,"['ipv6 source guard', 'no ipv6 source guard']"
ipv6 source guard attach-policy (port mode),"['ipv6 source guard attach-policy policy-name', 'no ipv6 source guard attach-policy']"
ipv6 source guard policy,"['ipv6 source guard policy policy-name', 'no ipv6 source guard policy policy-name']"
logging binding,"['logging binding [enable | disable]', 'no logging binding']"
logging packet drop,"['logging packet drop [enable | disable]', 'no logging packet drop']"
managed-config-flag,"['managed-config-flag {on | off | disable}', 'no managed-config-flag']"
match ra address,"['match ra address {prefix-list ipv6-prefix-list-name} | disable', 'no match ra address']"
match ra prefixes,"['match ra prefixes {prefix-list ipv6-prefix-list-name} | disable', 'no match ra prefixes']"
match reply,"['match reply {prefix-list ipv6-prefix-list-name} | disable', 'no match reply']"
match server address,"['match server address {prefix-list ipv6-prefix-list-name} | disable', 'no match server address']"
max-entries,"['max-entries {[vlan-limit {number | disable}] [interface-limit {number | disable}] [mac-limit {number | disable}]}', 'no max-entries [vlan-limit] [interface-limit] [mac-limit]']"
other-config-flag,"['other-config-flag {on | off | disable}', 'no other-config-flag']"
preference,"['preference {[maximum {value | disable}] [minimum {value | disable}]}', 'no preference [maximum] [minimum]']"
router-preference,"['router-preference [maximum {value | disable}] [minimum {value | disable}]', 'no router-preference [maximum] [minimum]']"
sec-level minimum,"['sec-level minimum value | disable', 'no sec-level minimum']"
show ipv6 dhcp guard,['show ipv6 dhcp guard']
show ipv6 dhcp guard policy,['show ipv6 dhcp guard policy [policy-name | active]']
show ipv6 first hop security,['show ipv6 first hop security']
show ipv6 first hop security active policies,['show ipv6 first hop security active policies interface interface-id vlan vlan-id']
show ipv6 first hop security attached policies,['show ipv6 first hop security attached policies interface interface-id vlan vlan-id']
show ipv6 first hop security counters,['show ipv6 first hop security counters interface interface-id']
show ipv6 first hop security error counters,['show ipv6 first hop security error counters']
show ipv6 first hop security policy,['show ipv6 first hop security policy [policy-name | active]']
show ipv6 nd inspection,['show ipv6 nd inspection']
show ipv6 nd inspection policy,['show ipv6 nd inspection policy [policy-name | active]']
show ipv6 nd raguard,['show ipv6 nd raguard']
show ipv6 nd raguard policy,['show ipv6 nd raguard policy [policy-name | active]']
show ipv6 neighbor binding,['show ipv6 neighbor binding']
show ipv6 neighbor binding policy,['show ipv6 neighbor binding policy [policy-name | active]']
show ipv6 neighbor binding prefix table,['show ipv6 neighbor binding prefix table [vlan vlan-id]']
show ipv6 neighbor binding table,['show ipv6 neighbor binding table [vlan vlan-id] [interface interface-id] [ipv6 ipv6-address] [mac mac-address]']
show ipv6 source guard,['show ipv6 source guard']
show ipv6 source guard policy,['show ipv6 source guard policy [policy-name | active]']
trusted-port (IPv6 Source Guard),"['trusted-port', 'no trusted-port']"
validate source-mac,"['validate source-mac [enable | disable]', 'no validate source-mac']"
ipv6 multicast-routing,"['ipv6 multicast-routing mld-proxy', 'no ipv6 multicast-routing']"
ipv6 multicast-routing,"['ipv6 multicast-routing mld-proxy', 'no ipv6 multicast-routing']"
show ipv6 mroute,['show ipv6 mroute [group-address [source-address] [summary]']
show ipv6 multicast,['show ipv6 multicast [interface [interface-id]']
clear ipv6 prefix-list,['clear ipv6 prefix-list [prefix-list-name [ipv6-prefix/prefix-length]']
ipv6 prefix-list,"['ipv6 prefix-list list-name [seq number] {deny|permit} ipv6-prefix/prefix-length [ge ge-length] [le le-length]} | description text', 'no ipv6 prefix-list list-name [seq number]']"
show ipv6 prefix-list,"['show ipv6 prefix-list [detail [list-name] | summary [list-name]', 'show ipv6 prefix-list list-name ipv6-prefix/prefix-length [longer | first-match]', 'show ipv6 prefix-list list-name seq seq-num']"
iscsi enable,"['iscsi enable', 'no iscsi enable']"
iscsi flow,"['iscsi flow default | {tcp-port [ip-address]}', 'no iscsi flow [default | {tcp-port [ip-address]}]']"
iscsi qos,"['iscsi qos {[vpt vpt] [dscp dscp] [queue queue]}', 'no iscsi qos']"
show iscsi,['show iscsi']
interface tunnel,['interface tunnel number']
tunnel destination,"['tunnel destination {host-name | ip-address}', 'no tunnel destination']"
tunnel isatap solicitation-interval,"['tunnel isatap solicitation-interval seconds', 'no tunnel isatap solicitation-interval']"
tunnel isatap robustness,"['tunnel isatap robustness number', 'no tunnel isatap robustness']"
show ipv6 tunnel,['show ipv6 tunnel [all]']
autobaud,"['autobaud', 'no autobaud']"
exec-timeout,"['exec-timeout minutes [seconds]', 'no exec-timeout']"
line,['line {console | telnet | ssh}']
speed,"['speed bps', 'no speed']"
show line,['show line [console | telnet | ssh]']
lacp port-priority,"['lacp port-priority value', 'no lacp port-priority']"
lacp system-priority,"['lacp system-priority value', 'no lacp system-priority']"
lacp timeout,"['lacp timeout {long | short}', 'no lacp timeout']"
show lacp,['show lacp interface-id [parameters | statistics | protocol-state]']
show lacp port-channel,['show lacp port-channel [port_channel_number]']
clear lldp statistics,['clear lldp statistics [global | interface-id]']
clear lldp table,['clear lldp table [interface-id]']
lldp chassis-id,"['lldp chassis-id {mac-address | host-name}', 'no lldp chassis-id']"
lldp hold-multiplier,"['lldp hold-multiplier number', 'no lldp hold-multiplier']"
lldp lldpdu,"['lldp lldpdu {filtering | flooding}', 'no lldp lldpdu']"
lldp management-address,"['lldp management-address {ip-address | none | automatic [interface-id]}', 'no lldp management-address']"
lldp med,"['lldp med {enable [tlv … tlv4] | disable}', 'no lldp med']"
lldp med notifications topology-change,"['lldp med notifications topology-change {enable | disable}', 'no lldp med notifications topology-change']"
lldp med fast-start repeat-count,"['lldp med fast-start repeat-count number', 'no lldp med fast-start repeat-count']"
lldp med location,"['lldp med location {coordinate data} | {civic-address data} | {ecs-elin data}', 'no lldp med location {coordinate | civic-address | ecs-elin}']"
lldp med network-policy (global),"['lldp med network-policy number application [vlan vlan-id] [vlan-type {tagged | untagged}] [up priority] [dscp value]', 'no lldp med network-policy number']"
lldp med network-policy (interface),"['lldp med network-policy {add | remove} number', 'no lldp med network-policy number']"
lldp med network-policy voice auto,"['lldp med network-policy voice auto', 'no lldp med network-policy voice auto']"
lldp notifications,"['lldp notifications {enable | disable}', 'no lldp notifications']"
lldp notifications interval,"['lldp notifications interval seconds', 'no lldp notifications interval']"
lldp optional-tlv,['lldp optional-tlv tlv [tlv2 … tlv5 | none]']
lldp optional-tlv 802.1,"['lldp optional-tlv 802.1 pvid {enable | disable} - The PVID is advertised or not advertised.', 'no lldp optional-tlv 802.1 pvid - The PVID advertise state is returned to default.', 'lldp optional-tlv 802.1 ppvid add ppvid - The Protocol Port VLAN ID (PPVID) is advertised. The PPVID is the PVID that is used depending on the packet’s protocol.', 'lldp optional-tlv 802.1 ppvid remove ppvid - The PPVID is not advertised.', 'lldp optional-tlv 802.1 vlan add vlan-id - This vlan-id is advertised.', 'lldp optional-tlv 802.1 vlan remove vlan-id - This vlan-id is not advertised.', 'lldp optional-tlv 802.1 protocol add {stp | rstp | mstp | pause | 802.1x | lacp | gvrp} - The protocols selected are advertised.', 'lldp optional-tlv 802.1 protocol remove {stp | rstp | mstp | pause | 802.1x | lacp | gvrp} - The protocols selected are not advertised.']"
lldp run,"['lldp run', 'no lldp run']"
lldp receive,"['lldp receive', 'no lldp receive']"
lldp reinit,"['lldp reinit seconds', 'no lldp reinit']"
lldp timer,"['lldp timer seconds', 'no lldp timer']"
lldp transmit,"['lldp transmit', 'no lldp transmit']"
lldp tx-delay,"['lldp tx-delay seconds', 'no lldp tx-delay']"
show lldp configuration,['show lldp configuration [interface-id | detailed]']
show lldp local,['show lldp local interface-id']
show lldp local tlvs-overloading,['show lldp local tlvs-overloading [interface-id]']
show lldp med configuration,['show lldp med configuration [interface-id | detailed]']
show lldp neighbors,['show lldp neighbors [interface-id]']
show lldp statistics,['show lldp statistics [interface-id | detailed]']
loopback-detection enable (Global),"['loopback-detection enable', 'no loopback-detection enable']"
loopback-detection enable (Interface),"['loopback-detection enable', 'no loopback-detection enable']"
loopback-detection interval,"['loopback-detection interval seconds', 'no loopback-detection interval']"
show loopback-detection,['show loopback-detection [interface-id | detailed]']
macro name,"['macro name macro-name', 'no macro name [macro-name]']"
macro,['macro {apply | trace} macro-name [parameter-name1 value] [parameter-name2 value] [parameter-name3 value]']
macro description,"['macro description text', 'no macro description']"
macro global,['macro global {apply | trace} macro-name [parameter-name1 value] [parameter-name2 value] [parameter -name3 value]']
macro global description,"['macro global description text', 'no macro global description']"
show parser macro,['show parser macro [{brief | description [interface interface-id | detailed] | name macro-name}]']
deny (Management),"['deny [interface-id] [service service]', 'deny ip-source {ipv4-address | ipv6-address/ipv6-prefix-length} [mask {mask | prefix-length}] [interface-id] [service service]']"
permit (Management),"['permit [interface-id] [service service]', 'permit ip-source {ipv4-address | ipv6-address/ipv6-prefix-length} [mask {mask | prefix-length}] [interface-id] [service service]']"
management access-list,"['management access-list name', 'no management access-list name']"
management access-class,"['management access-class {console-only | name}', 'no management access-class']"
show management access-list,['show management access-list [name]']
show management access-class,['show management access-class']
clear ipv6 mld counters,['clear ipv6 mld counters [interface-id]']
ipv6 mld last-member-query-count,"['ipv6 mld last-member-query-count count', 'no ipv6 mld last-member-query-count']"
ipv6 mld last-member-query-interval,"['ipv6 mld last-member-query-interval milliseconds', 'no ipv6 mld last-member-query-interval']"
ipv6 mld query-interval,"['ipv6 mld query-interval seconds', 'no ipv6 mld query-interval']"
ipv6 mld query-max-response-time,"['ipv6 mld query-max-response-time seconds', 'no ipv6 mld query-max-response-time']"
ipv6 mld robustness,"['ipv6 mld robustness count', 'no ipv6 mld robustness']"
ipv6 mld version,"['ipv6 mld version {1 | 2}', 'no ipv6 mld version']"
show ipv6 mld counters,['show ipv6 mld counters [interface-id]']
show ipv6 mld groups,['show ipv6 mld groups [link-local | group-name | group-address | interface-id] [detail]']
show ipv6 mld groups summary,['show ipv6 mld groups summary']
show ipv6 mld interface,['show ipv6 mld interface [interface-id]']
ipv6 mld-proxy ssm,"['ipv6 mld-proxy ssm {default | range access-list}', 'no ipv6 mld-proxy ssm']"
ipv6 mld-proxy,"['ipv6 mld-proxy upstream-interface-id', 'no ipv6 mld-proxy']"
ipv6 mld-proxy downstream protected,"['ipv6 mld-proxy downstream protected', 'no ipv6 mld-proxy downstream protected']"
ipv6 mld-proxy downstream protected interface,"['ipv6 mld-proxy downstream protected interface {enabled | disabled}', 'no ipv6 mld-proxy downstream protected interface']"
show ipv6 mld-proxy interface,['show ipv6 mld-proxy interface [interface-id]']
ipv6 mld snooping (Global),"['ipv6 mld snooping', 'no ipv6 mld snooping']"
ipv6 mld snooping vlan,"['ipv6 mld snooping vlan vlan-id', 'no ipv6 mld snooping vlan vlan-id']"
ipv6 mld snooping querier,"['ipv6 mld snooping querier', 'no ipv6 mld snooping querier']"
ipv6 mld snooping vlan querier,"['ipv6 mld snooping vlan vlan-id querier', 'no ipv6 mld snooping vlan vlan-id querier']"
ipv6 mld snooping vlan querier election,"['ipv6 mld snooping vlan vlan-id querier election', 'no ipv6 mld snooping vlan vlan-id querier election']"
ipv6 mld snooping vlan querier version,"['ipv6 mld snooping vlan vlan-id querier version {1 | 2}', 'no ipv6 mld snooping vlan vlan-id querier version']"
ipv6 mld snooping vlan mrouter,"['ipv6 mld snooping vlan vlan-id mrouter learn pim-dvmrp', 'no ipv6 mld snooping vlan vlan-id mrouter learn pim-dvmrp']"
ipv6 mld snooping vlan mrouter interface,"['ipv6 mld snooping vlan vlan-id mrouter interface interface-list', 'no ipv6 mld snooping vlan vlan-id mrouter interface interface-list']"
ipv6 mld snooping vlan forbidden mrouter,"['ipv6 mld snooping vlan vlan-id forbidden mrouter interface interface-list', 'no ipv6 mld snooping vlan vlan-id forbidden mrouter interface interface-list']"
ipv6 mld snooping vlan static,"['ipv6 mld snooping vlan vlan-id static ipv6-address [interface interface-list]', 'no ipv6 mld snooping vlan vlan-id static ipv6-address [interface interface-list]']"
ipv6 mld snooping vlan immediate-leave,"['ipv6 mld snooping vlan vlan-id immediate-leave', 'no ipv6 mld snooping vlan vlan-id immediate-leave']"
show ipv6 mld snooping groups,['show ipv6 mld snooping groups [vlan vlan-id] [address ipv6-multicast-address] [source ipv6-address]']
show ipv6 mld snooping interface,['show ipv6 mld snooping interface vlan-id']
show ipv6 mld snooping mrouter,['show ipv6 mld snooping mrouter [interface vlan-id]']
snmp-server community,"['snmp-server community community-string [ro | rw | su] [ip-address | ipv6-address] [mask mask | prefix prefix-length] [view view-name] [type {router | oob}]', 'no snmp-server community community-string [ip-address] [type {router | oob}]']"
snmp-server community-group,['snmp-server community-group community-string group-name [ip-address | ipv6-address] [mask mask | prefix prefix-length] [type {router | oob}]']
snmp-server server,"['snmp-server server', 'no snmp-server server']"
snmp-server source-interface,"['snmp-server source-interface {traps | informs} interface-id', 'no snmp-server source-interface [traps | informs]']"
snmp-server source-interface-ipv6,"['snmp-server source-interface-ipv6 {traps | informs} interface-id', 'no snmp-server source-interface-ipv6 [traps | informs]']"
snmp-server view,"['snmp-server view view-name oid-tree {included | excluded}', 'no snmp-server view view-name [oid-tree]']"
snmp-server group,"['snmp-server group groupname {v1 | v2 | v3 {noauth | auth | priv} [notify notifyview]} [read readview] [write writeview]', 'no snmp-server group groupname {v1 | v2 | v3 [noauth | auth | priv]}']"
show snmp views,['show snmp views [viewname]']
show snmp groups,['show snmp groups [groupname]']
snmp-server user,"['snmp-server user username groupname {v1 | v2c | [remote host] v3[auth { sha | sha224| sha256| sha384| sha512} auth-password [priv priv-password]}', 'encrypted snmp-server user username groupname {v1 | v2c | [remote host] v3[auth { sha | sha224| sha256| sha384| sha512} encrypted-auth-password [priv encrypted-priv-password]}', 'no snmp-server user username {v1 | v2c | [remote host] v3}']"
show snmp users,['show snmp users [username]']
snmp-server filter,"['snmp-server filter filter-name oid-tree {included | excluded}', 'no snmp-server filter filter-name [oid-tree]']"
show snmp filters,['show snmp filters [filtername]']
snmp-server host,"['snmp-server host {host-ip | hostname} [traps | informs] [version {1 | 2c | 3 [auth | noauth | priv]}] community-string [udp-port port] [filter filtername] [timeout seconds] [retries retries]', 'no snmp-server host {ip-address | hostname} [traps | informs] [version {1 | 2c | 3}]']"
snmp-server engineID local,"['snmp-server engineID local {engineid-string | default}', 'no snmp-server engineID local']"
snmp-server engineID remote,"['snmp-server engineID remote ip-address engineid-string', 'no snmp-server engineID remote ip-address']"
show snmp engineID,['show snmp engineID']
snmp-server enable traps,"['snmp-server enable traps', 'no snmp-server enable traps']"
snmp-server trap authentication,"['snmp-server trap authentication', 'no snmp-server trap authentication']"
snmp-server contact,"['snmp-server contact text', 'no snmp-server contact']"
snmp-server location,"['snmp-server location text', 'no snmp-server location']"
snmp-server set,['snmp-server set variable-name name value [name2 value2.]']
snmp trap link-status,"['snmp trap link-status', 'no snmp trap link-status']"
show snmp,['show snmp']
test cable-diagnostics tdr,['test cable-diagnostics tdr interface interface-id']
show cable-diagnostics tdr,['show cable-diagnostics tdr [interface interface-id]']
show cable-diagnostics cable-length,['show cable-diagnostics cable-length [interface interface-id]']
show fiber-ports optical-transceiver,['show fiber-ports optical-transceiver [interface interface-id]']
pnp device,"['pnp device username username password password', 'encrypted pnp device username username password encrypted-password', 'no pnp device']"
pnp discovery timeout,"['pnp discovery timeout timeout exponential-factor max-timeout', 'no pnp discovery timeout']"
pnp enable,"['pnp enable', 'no pnp enable']"
pnp reconnect interval,"['pnp reconnect interval timeout', 'no pnp reconnect interval']"
pnp resume,['pnp resume']
pnp transport,"['pnp transport {http | https} ip-address [port port-number]', 'no pnp transport']"
pnp watchdog timeout,"['pnp watchdog timeout timeout', 'no pnp watchdog timeout']"
show pnp,['show pnp']
power inline,"['power inline auto [time-range time-range-name]', 'power inline never']"
power inline inrush test disable,"['power inline inrush test disable', 'no power inline inrush test disable']"
power inline legacy support disable,"['power inline legacy support disable', 'no power inline legacy support disable']"
power inline powered-device,"['power inline powered-device pd-type', 'no power inline powered-device']"
power inline priority,"['power inline priority {critical | high | low}', 'no power inline priority']"
power inline usage-threshold,"['power inline usage-threshold percent', 'no power inline usage-threshold']"
power inline traps enable,"['power inline traps enable', 'no power inline traps enable']"
power inline limit,"['power inline limit power', 'no power inline limit']"
power inline limit-mode,"['power inline limit-mode {class | port}', 'no power inline limit-mode']"
power inline four-pair forced,"['power inline four-pair forced', 'no power inline four-pair forced']"
power inline negotiation,"['power inline negotiation {none | all}', 'no power inline negotiation']"
show power inline,['show power inline [interface-id | module unit-id]']
show power inline savings,['show power inline savings']
clear power inline counters,['clear power inline counters [interface-id]']
clear power inline monitor consumption,['clear power inline monitor consumption [interface-id-list]']
show power inline monitor consumption,['show power inline monitor consumption [interface-id ] {minutes|hours | days |weeks}']
channel-group,"['channel-group port-channel mode {on | auto}', 'no channel-group']"
port-channel load-balance,"['port-channel load-balance {src-dst-mac | src-dst-mac-ip}', 'no port-channel load-balance']"
show interfaces port-channel,['show interfaces port-channel [interface-id]']
qos,"['qos [basic | {advanced [ports-not-trusted | ports-trusted]}]', 'no qos']"
qos advanced-mode trust,"['qos advanced-mode trust {cos | dscp | cos-dscp}', 'no qos advanced-mode trust']"
show qos,['show qos']
class-map,"['class-map class-map-name [match-all | match-any]', 'no class-map class-map-name']"
show class-map,['show class-map [class-map-name]']
match,"['match access-group acl-name', 'no match access-group acl-name']"
policy-map,"['policy-map policy-map-name', 'no policy-map policy-map-name']"
class,"['class class-map-name [access-group acl-name]', 'no class class-map-name']"
show policy-map,['show policy-map [policy-map-name]']
trust,"['trust', 'no trust']"
set,"['set {dscp new-dscp | queue queue-id | cos new-cos}', 'no set']"
redirect,"['redirect interface-id', 'no redirect']"
mirror,"['mirror session_number', 'no mirror']"
police,"['police committed-rate-kbps committed-burst-byte [exceed-action action] [peak peak-rate-kbps peak-burst-byte [violate-action action]', 'no police']"
service-policy,"['service-policy {input | output} policy-map-name [default-action {permit-any | deny-any}]', 'no service-policy input | output', 'service-policy {input | output} policy-map-name']"
qos aggregate-policer,"['qos aggregate-policer aggregate-policer-name committed-rate-kbps committed-burst-byte [exceed-action action] [peak peak-rate-kbps peak-burst-byte [violate-action action]', 'no qos aggregate-policer aggregate-policer-name']"
show qos aggregate-policer,['show qos aggregate-policer [aggregate-policer-name]']
police aggregate,"['police aggregate aggregate-policer-name', 'no police aggregate aggregate-policer-name']"
wrr-queue cos-map,"['wrr-queue cos-map queue-id cos0. cos7', 'no wrr-queue cos-map [queue-id]']"
wrr-queue bandwidth,"['wrr-queue bandwidth weight1 weight2. weighting', 'no wrr-queue bandwidth']"
priority-queue out num-of-queues,"['priority-queue out num-of-queues number-of-queues', 'no priority-queue out num-of-queues']"
traffic-shape,"['traffic-shape committed-rate [committed-burst]', 'no traffic-shape']"
traffic-shape queue,"['traffic-shape queue queue-id committed-rate [committed-burst]', 'no traffic-shape queue queue-id']"
qos wrr-queue wrtd,"['qos wrr-queue wrtd', 'no qos wrr-queue wrtd']"
show qos wrr-queue wrtd,['show qos wrr-queue wrtd']
show qos interface,['show qos interface [buffers | queueing | policers | shapers] [interface-id]']
qos map policed-dscp,"['qos map policed-dscp [violation] dscp-list to dscp-mark-down', 'no qos map policed-dscp [violation] [dscp-list]']"
qos map dscp-queue,"['qos map dscp-queue dscp-list to queue-id', 'no qos map dscp-queue [dscp-list]']"
qos trust (Global),"['qos trust {cos | dscp| cos-dscp}', 'no qos trust']"
qos trust (Interface),"['qos trust', 'no qos trust']"
qos cos,"['qos cos default-cos', 'no qos cos']"
qos dscp-mutation,"['qos dscp-mutation', 'no qos dscp-mutation']"
show qos map,['show qos map [dscp-queue | dscp-dp| dscp-mutation | policed-dscp | policed-cos]']
clear qos statistics,['clear qos statistics']
qos statistics policer,"['qos statistics policer policy-map-name class-map-name', 'no qos statistics policer policy-map-name class-map-name']"
qos statistics aggregate-policer,"['qos statistics aggregate-policer aggregate-policer-name', 'no qos statistics aggregate-policer aggregate-policer-name']"
clear queue statistics,['clear queue statistics [interface-id]']
show queue statistics,['show queue statistics [interface-id]']
show qos statistics,['show qos statistics']
radius-server host,"['radius-server host {ip-address | hostname} [auth-port auth-port-number] [acct-port acct-port-number] [timeout timeout] [retransmit retries] [deadtime deadtime] [key key-string] [priority priority] [usage {login | dot1.x | all}]', 'encrypted radius-server host {ip-address | hostname} [auth-port auth-port-number] [acct-port acct-port-number] [timeout timeout] [retransmit retries] [deadtime deadtime] [key encrypted-key-string] [priority priority] [usage {login | dot1.x | all}]', 'no radius-server host {ip-address | hostname}']"
radius-server key,"['radius-server key [key-string]', 'encrypted radius-server key [encrypted-key-string]', 'no radius-server key']"
radius-server retransmit,"['radius-server retransmit retries', 'no radius-server retransmit']"
radius-server host source-interface,"['radius-server host source-interface interface-id', 'no radius-server host source-interface']"
radius-server host source-interface-ipv6,"['radius-server host source-interface-ipv6 interface-id', 'no radius-server host source-interface-ipv6']"
radius-server timeout,"['radius-server timeout timeout-seconds', 'no radius-server timeout']"
radius-server deadtime,"['radius-server deadtime deadtime', 'no radius-server deadtime']"
show radius-servers,['show radius-servers']
show radius-servers key,['show radius-servers key']
allowed-time-range,"['allowed-time-range time-range-name', 'no allowed-time-range']"
clear radius server accounting,['clear radius server accounting']
clear radius server rejected users,['clear radius server rejected users']
clear radius server statistics,['clear radius server statistics [ip-address]']
clear radius server unknown nas,['clear radius server unknown nas']
privilege-level,"['privilege-level level', 'no privilege-level']"
radius server accounting-port,"['radius server accounting-port udp-port', 'no radius server accounting-port']"
radius server authentication-port,"['radius server authentication-port udp-port', 'no radius server authentication-port']"
radius server enable,"['radius server enable', 'no radius server enable']"
radius server group,"['radius server group group-name', 'no radius server group [group-name]']"
radius server nas secret,"['radius server nas secret key key {default | ip-address}', 'radius server nas secret ip-address', 'encrypted radius server nas secret key encrypted-key {default | ip-address}', 'no radius server nas secret [default | ip-address]']"
radius server traps accounting,"['radius server traps accounting', 'no radius server traps accounting']"
radius server traps authentication success,"['radius server traps authentication success', 'no radius server traps authentication success']"
radius server user,"['radius server user username user-name group group-name password unencrypted-password', 'no radius server user [username user-name | group group-name]']"
show radius server accounting,['show radius server accounting [username user-name]']
show radius server configuration,['show radius server configuration']
show radius server group,['show radius server group [group-name]']
show radius server rejected users,['show radius server rejected users [username user-name]']
show radius server statistics,['show radius server statistics [ip-address]']
show radius server nas secret,['show radius server nas secret [default | ip-address]']
show radius server user,['show radius server user [username user-name] | [group group-name]']
show radius server unknown nas,['show radius server unknown nas']
vlan,"['vlan {id vlan-id | name vlan-name}', 'no vlan']"
