command,syntax_products
lldp receive,"[('lldp receive', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no lldp receive', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
lldp reinit,"[('lldp reinit seconds', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no lldp reinit', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
lldp run,"[('lldp run', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no lldp run', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
lldp timer,"[('lldp timer seconds', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no lldp timer', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
lldp tlv-select 802.1,"[('lldp tlv-select 802.1 pvid enable', 'cbs_220'), ('lldp tlv-select 802.1 pvid disable', 'cbs_220'), ('lldp tlv-select 802.1 vlan-name add vlan-id', 'cbs_220'), ('lldp tlv-select 802.1 vlan-name remove vlan-id', 'cbs_220')]"
lldp tlv-select TLV,"[('lldp tlv-select TLV [TLV ] [TLV ] [TLV ] [TLV ] [TLV ] [TLV ] [TLV ]', 'cbs_220'), ('no lldp tlv-select', 'cbs_220')]"
lldp transmit,"[('lldp transmit', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no lldp transmit', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
lldp tx-delay,"[('lldp tx-delay seconds', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no lldp tx-delay', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
log aggregation on,"[('logging aggregation on', 'cbs_220'), ('no logging aggregation on', 'cbs_220')]"
logging aggregation aging-time,"[('logging aggregation aging-time sec', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no logging aggregation aging-time', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
logging aggregation on,"[('logging aggregation on', 'cbs_250, cbs_350, cat_1300'), ('no logging aggregation on', 'cbs_250, cbs_350, cat_1300')]"
logging binding,"[('logging binding [enable | disable]', 'cbs_350, cat_1300'), ('no logging binding', 'cbs_350, cat_1300')]"
logging buffered,"[('logging buffered [buffer-size] [severity-level | severity-level-name]', 'cbs_250, cbs_350, cat_1300'), ('no logging buffered', 'cbs_250, cbs_350, cat_1300')]"
logging cbd level,"[('logging cbd level level', 'cbs_250, cbs_350, cat_1300'), ('no logging cbd level', 'cbs_250, cbs_350, cat_1300')]"
logging cbd module,"[('logging cbd module {module [module2 … module6 ] | none | all}', 'cbs_250, cbs_350, cat_1300'), ('no logging cbd module', 'cbs_250, cbs_350, cat_1300')]"
logging console,"[('logging console level', 'cbs_250, cbs_350, cat_1300'), ('no logging console', 'cbs_250, cbs_350, cat_1300')]"
logging file,"[('logging file level', 'cbs_250, cbs_350, cat_1300'), ('no logging file', 'cbs_250, cbs_350, cat_1300')]"
logging host,"[('logging host {ipv4-address | ipv6-address | hostname} [facility facility] [port port] [severity severity_level]', 'cbs_220'), ('no logging host {ip-address | ipv6-address | hostname}', 'cbs_220'), ('logging host {ip-address | ipv6-address | hostname} [port port] [severity level] [facility facility] [description text]', 'cbs_250, cbs_350, cat_1300'), ('no logging host {ipv4-address | ipv6-address | hostname}', 'cbs_250, cbs_350, cat_1300')]"
logging on,"[('logging on', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no logging on', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
logging origin-id,"[('logging origin-id {hostname | IP | IPv6 | string user-defined-id}', 'cbs_250, cbs_350, cat_1300'), ('no logging origin-id', 'cbs_250, cbs_350, cat_1300')]"
logging packet drop,"[('logging packet drop [enable | disable]', 'cbs_350, cat_1300'), ('no logging packet drop', 'cbs_350, cat_1300')]"
logging source-interface,"[('logging source-interface interface-id', 'cbs_250, cbs_350, cat_1300'), ('no logging source-interface', 'cbs_250, cbs_350, cat_1300')]"
logging source-interface-ipv6,"[('logging source-interface-ipv6 interface-id', 'cbs_250, cbs_350, cat_1300'), ('no logging source-interface-ipv6', 'cbs_250, cbs_350, cat_1300')]"
login authentication,"[('login authentication {default | LISTNAME}', 'cbs_220'), ('no login authentication', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('login authentication {default | list-name}', 'cbs_250, cbs_350, cat_1300')]"
login delay,"[('login delay seconds', 'cbs_250, cbs_350, cat_1300'), ('no login delay', 'cbs_250, cbs_350, cat_1300')]"
login quiet-mode access-class,"[('login quiet-mode access-class name', 'cbs_250, cbs_350, cat_1300'), ('no login quiet-mode access-class', 'cbs_250, cbs_350, cat_1300')]"
login-banner,"[('login-banner', 'cbs_250, cbs_350'), ('no login-banner', 'cbs_250, cbs_350')]"
loopback-detection enable (Global),"[('loopback-detection enable', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no loopback-detection enable', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
loopback-detection enable (Interface),"[('loopback-detection enable', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no loopback-detection enable', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
loopback-detection interval,"[('loopback-detection interval seconds', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no loopback-detection interval', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
mac access-group in,"[('mac access-group acl-name in', 'cbs_220'), ('no mac access-group in', 'cbs_220')]"
mac access-list,"[('mac access-list extended acl-name', 'cbs_250, cbs_350, cat_1300'), ('no mac access-list extended acl-name', 'cbs_250, cbs_350, cat_1300')]"
mac access-list extended,"[('mac access-list extended acl-name', 'cbs_220'), ('no mac access-list extended acl-name', 'cbs_220')]"
mac address-table aging-time,"[('mac address-table aging-time seconds', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no mac address-table aging-time', 'cbs_250, cbs_350, cat_1300')]"
mac address-table static,"[('mac address-table static mac-address vlan vlan-id interfaces interface-id [delete-on-reboot | delete-on-timeout | permanent | secure]', 'cbs_220'), ('mac address-table static mac-address vlan vlan-id drop', 'cbs_220'), ('no mac address-table static mac-address vlan vlan-id', 'cbs_220'), ('mac address-table static mac-address vlan vlan-id interface interface-id [permanent | delete-on-reset | delete-on-timeout | secure]|', 'cbs_250, cbs_350, cat_1300'), ('no mac address-table static [mac-address] vlan vlan-id', 'cbs_250, cbs_350, cat_1300')]"
macro auto (Global),"[('macro auto {enabled | disabled | controlled}', 'cbs_250, cbs_350, cat_1300'), ('no macro auto', 'cbs_250, cbs_350, cat_1300')]"
macro auto built-in parameters,"[('macro auto built-in parameters smartport-type [parameter-name value [parameter-name value [parameter-name value]', 'cbs_250, cbs_350, cat_1300'), ('no macro auto built-in parameters smartport-type', 'cbs_250, cbs_350, cat_1300')]"
macro auto persistent,"[('macro auto persistent', 'cbs_250, cbs_350, cat_1300'), ('no macro auto persistent', 'cbs_250, cbs_350, cat_1300')]"
macro auto processing cdp,"[('macro auto processing cdp', 'cbs_250, cbs_350, cat_1300'), ('no macro auto processing cdp', 'cbs_250, cbs_350, cat_1300')]"
macro auto processing lldp,"[('macro auto processing lldp', 'cbs_250, cbs_350, cat_1300'), ('no macro auto processing lldp', 'cbs_250, cbs_350, cat_1300')]"
macro auto processing type,"[('macro auto processing type smartport-type {enabled | disabled}', 'cbs_250, cbs_350, cat_1300'), ('no macro auto processing type smartport-type', 'cbs_250, cbs_350, cat_1300')]"
macro auto smartport (Interface),"[('macro auto smartport', 'cbs_250, cbs_350, cat_1300'), ('no macro auto smartport', 'cbs_250, cbs_350, cat_1300')]"
macro auto smartport type,"[('macro auto smartport type smartport-type [parameter-name value [parameter-name value [parameter-name value]', 'cbs_250, cbs_350, cat_1300'), ('no macro auto smartport type', 'cbs_250, cbs_350, cat_1300')]"
macro auto user smartport macro,"[('macro auto user smartport macro smartport-type user-defined-macro-name [parameter-name value [parameter-name value [parameter-name value]', 'cbs_250, cbs_350, cat_1300'), ('no macro auto user smartport macro smartport-type', 'cbs_250, cbs_350, cat_1300')]"
macro description,"[('macro description text', 'cbs_250, cbs_350, cat_1300'), ('no macro description', 'cbs_250, cbs_350, cat_1300')]"
macro global description,"[('macro global description text', 'cbs_250, cbs_350, cat_1300'), ('no macro global description', 'cbs_250, cbs_350, cat_1300')]"
macro name,"[('macro name macro-name', 'cbs_250, cbs_350, cat_1300'), ('no macro name [macro-name]', 'cbs_250, cbs_350, cat_1300')]"
managed-config-flag,"[('managed-config-flag {on | off | disable}', 'cbs_350, cat_1300'), ('no managed-config-flag', 'cbs_350, cat_1300')]"
management access-class,"[('management access-class {console-only | name}', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no management access-class', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
management access-list,"[('management access-list name', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no management access-list name', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
management vlan ip dhcp client,"[('management vlan ip dhcp client', 'cbs_220'), ('no management vlan ip dhcp client', 'cbs_220')]"
management vlan ipv6 dhcp client information refresh,"[('management vlan ipv6 dhcp client information refresh {infinity | <86400-4294967294> }', 'cbs_220'), ('no management vlan ipv6 dhcp client information refresh', 'cbs_220'), ('management vlan ipv6 dhcp client information refresh minimum {infinity | <600-4294967294> }', 'cbs_220'), ('no management vlan ipv6 dhcp client information refresh minimum', 'cbs_220')]"
management vlan ipv6 dhcp client stateless,"[('management vlan ipv6 dhcp client stateless', 'cbs_220'), ('no management vlan ipv6 dhcp client stateless', 'cbs_220')]"
management vlan ipv6-address-autoconfig,"[('management vlan ipv6-address-autoconfig', 'cbs_220'), ('no management vlan ipv6-address-autoconfig', 'cbs_220')]"
management vlan ipv6-address-dhcp,"[('management vlan ipv6-address-dhcp', 'cbs_220'), ('no management vlan ipv6-address-dhcp', 'cbs_220')]"
map mac macs-group,"[('map mac mac-address {prefix-mask | host} macs-group group', 'cbs_250, cbs_350, cat_1300'), ('no map mac mac-address {prefix-mask | host}', 'cbs_250, cbs_350, cat_1300')]"
map protocol protocols-group,"[('map protocol protocol [encapsulation-value] protocols-group group', 'cbs_250, cbs_350, cat_1300'), ('no map protocol protocol [encapsulation]', 'cbs_250, cbs_350, cat_1300')]"
map subnet subnets-group,"[('map subnet ip-address prefix-mask subnets-group group', 'cbs_250, cbs_350, cat_1300'), ('no map subnet ip-address prefix-mask', 'cbs_250, cbs_350, cat_1300')]"
match,"[('match access-group acl-name', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no match access-group acl-name', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
match ip address (Policy Routing),"[('match ip address access-list extended-access-list-name', 'cbs_350, cat_1300'), ('no match ip address access-list', 'cbs_350, cat_1300')]"
match ipv6 address (Policy Routing),"[('match ipv6 address access-list extended-access-list-name', 'cbs_350, cat_1300'), ('no match ipv6 address access-list', 'cbs_350, cat_1300')]"
match ra address,"[('match ra address {prefix-list ipv6-prefix-list-name} | disable', 'cbs_350, cat_1300'), ('no match ra address', 'cbs_350, cat_1300')]"
match ra prefixes,"[('match ra prefixes {prefix-list ipv6-prefix-list-name} | disable', 'cbs_350, cat_1300'), ('no match ra prefixes', 'cbs_350, cat_1300')]"
match reply,"[('match reply {prefix-list ipv6-prefix-list-name} | disable', 'cbs_350, cat_1300'), ('no match reply', 'cbs_350, cat_1300')]"
match server address,"[('match server address {prefix-list ipv6-prefix-list-name} | disable', 'cbs_350, cat_1300'), ('no match server address', 'cbs_350, cat_1300')]"
max-entries,"[('max-entries {[vlan-limit {number | disable}] [interface-limit {number | disable}] [mac-limit {number | disable}]}', 'cbs_350, cat_1300'), ('no max-entries [vlan-limit] [interface-limit] [mac-limit]', 'cbs_350, cat_1300')]"
mdix,"[('mdix {on | auto}', 'cbs_250, cbs_350, cat_1300'), ('no mdix', 'cbs_250, cbs_350, cat_1300')]"
mirror,"[('mirror session_number', 'cbs_250, cbs_350, cat_1300'), ('no mirror', 'cbs_250, cbs_350, cat_1300')]"
monitor session destination,"[('monitor session session_number destination {interface interface-id [network]} | {remote vlan vlan-id reflector-port interface-id} network}', 'cbs_250, cbs_350, cat_1300'), ('no monitor session session_number destination', 'cbs_250, cbs_350, cat_1300')]"
monitor session destination interface,"[('monitor session session-number destination interface interface-id [allow-ingress-packet]', 'cbs_220'), ('no monitor session session-number destination interface interface-id', 'cbs_220')]"
monitor session destination remote-span,"[('monitor session session-number destination remote-span vlan vlan-id reflector-interface interface-id', 'cbs_220'), ('no monitor session session-number destination remote-span', 'cbs_220')]"
monitor session source,"[('monitor session session_number source {interface interface-id [both | rx | tx]} | {vlan vlan-id} | {remote vlan vlan-id}', 'cbs_250, cbs_350, cat_1300'), ('no monitor session [session_number] source [{interface interface-id} | {vlan vlan-id} | {remote vlan vlan-id}]', 'cbs_250, cbs_350, cat_1300')]"
monitor session source interfaces,"[('monitor session session-number source interfaces interface-id {both | rx | tx}', 'cbs_220'), ('no monitor session session-number source interfaces interface-id {both | rx | tx}', 'cbs_220'), ('monitor session session-number source vlan vlan-id', 'cbs_220'), ('no monitor session session-number source vlan', 'cbs_220')]"
monitor session source remote-span,"[('monitor session session-number source remote-span vlan vlan-id', 'cbs_220'), ('no monitor session session-number source remote-span', 'cbs_220')]"
name,"[('name string', 'cbs_250, cbs_350, cat_1300'), ('no name', 'cbs_250, cbs_350, cat_1300')]"
name (MST),"[('name string', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no name', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
name (vlan),"[('name string', 'cbs_220'), ('no name', 'cbs_220')]"
negotiation,"[('negotiation [capability [capability2. capability5] [preferred {master | slave}]', 'cbs_250, cbs_350, cat_1300'), ('no negotiation', 'cbs_250, cbs_350, cat_1300')]"
netbios-name-server,"[('netbios-name-server ip-address [ip-address2 . ip-address8]', 'cbs_350, cat_1300'), ('no netbios-name-server', 'cbs_350, cat_1300')]"
netbios-node-type,"[('netbios-node-type {b-node | p-node | m-node | h-node}', 'cbs_350, cat_1300'), ('no netbios-node-type', 'cbs_350, cat_1300')]"
network,"[('network ip-address [shutdown]', 'cbs_350, cat_1300'), ('no network ip-address', 'cbs_350, cat_1300')]"
next-server,"[('next-server ip-address', 'cbs_350, cat_1300'), ('no next-server', 'cbs_350, cat_1300')]"
next-server-name,"[('next-server-name name', 'cbs_350, cat_1300'), ('no next-server-name', 'cbs_350, cat_1300')]"
operation time,"[('operation time time-range-name', 'cbs_250, cbs_350, cat_1300'), ('no operation time', 'cbs_250, cbs_350, cat_1300')]"
operation time-range,"[('operation time-range NAME', 'cbs_220'), ('no operation time-range', 'cbs_220')]"
option,"[('option code {boolean {false | true} | integer value | ascii string | hex {string | none} | ip {address} | ip-list {ip-address1 [ip-address2 …]} [description text]', 'cbs_350, cat_1300'), ('no option code', 'cbs_350, cat_1300')]"
other-config-flag,"[('other-config-flag {on | off | disable}', 'cbs_350, cat_1300'), ('no other-config-flag', 'cbs_350, cat_1300')]"
passive-interface (RIP),"[('passive-interface', 'cbs_350, cat_1300'), ('no passive-interface', 'cbs_350, cat_1300')]"
passphrase,"[('passphrase {passphrase}', 'cbs_250, cbs_350, cat_1300'), ('encrypted passphrase {encrypted-passphrase}', 'cbs_250, cbs_350, cat_1300'), ('no passphrase', 'cbs_250, cbs_350, cat_1300')]"
password,"[('encrypted password encrypted-password', 'cbs_250, cbs_350, cat_1300'), ('password password', 'cbs_250, cbs_350, cat_1300'), ('no password', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('password {unencrypted-password [method hash-method] | encrypted-password encrypted}', 'cbs_250, cbs_350, cat_1300'), ('password generate-password [method hash-method]', 'cbs_250, cbs_350, cat_1300')]"
password complexity history,"[('passwords complexity history number', 'cbs_250, cbs_350, cat_1300'), ('no passwords complexity history', 'cbs_250, cbs_350, cat_1300')]"
passwords aging,"[('passwords aging days', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no passwords aging', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
passwords complexity,"[('passwords complexity {min-length number} | {min-classes number} | {no-repeat number} | not-current | not-username | not-manufacturer-name', 'cbs_250, cbs_350, cat_1300'), ('no passwords complexity min-length | min-classes | no-repeat | not-current | not-username | not-manufacturer-name', 'cbs_250, cbs_350, cat_1300')]"
passwords complexity attributes,"[('passwords complexity min-length number', 'cbs_220'), ('no passwords complexity min-length', 'cbs_220'), ('passwords complexity min-classes number', 'cbs_220'), ('no passwords complexity min-classes', 'cbs_220'), ('passwords complexity not-current', 'cbs_220'), ('no passwords complexity not-current', 'cbs_220'), ('passwords complexity no-repeat number', 'cbs_220'), ('no password complexity no-repeat', 'cbs_220'), ('passwords complexity not-username', 'cbs_220'), ('no passwords complexity not-username', 'cbs_220')]"
passwords complexity enable,"[('passwords complexity enable', 'cbs_220'), ('no passwords complexity enable', 'cbs_220')]"
periodic,"[('periodic (sun | mon | tue | wed | thu | fri | sat) HH:MM to (sun | mon | tue | wed | thu | fri | sat) HH:MM', 'cbs_220'), ('no periodic (sun | mon | tue | wed | thu | fri | sat) HH:MM to (sun | mon | tue | wed | thu | fri | sat) HH:MM', 'cbs_220'), ('periodic (daily | weekdays | weekend) HH:MM to HH:MM', 'cbs_220'), ('periodic (sun | mon | tue | wed | thu | fri | sat) | [(sun | mon | tue | wed | thu | fri | sat)] | [ (sun | mon | tue | wed | thu | fri | sat) ] | [(sun | mon | tue | wed | thu | fri | sat)] | [(sun | mon | tue | wed | thu | fri | sat) ] | [(sun | mon | tue | wed | thu | fri | sat)] | [(sun | mon | tue | wed | thu | fri | sat) ] HH:MM to HH:MM', 'cbs_220'), ('no periodic (daily | weekdays | weekend) HH:MM to HH:MM', 'cbs_220'), ('no periodic (sun | mon | tue | wed | thu | fri | sat) | [(sun | mon | tue | wed | thu | fri | sat)] | [ (sun | mon | tue | wed | thu | fri | sat) ] | [(sun | mon | tue | wed | thu | fri | sat)] | [(sun | mon | tue | wed | thu | fri | sat) ] | [(sun | mon | tue | wed | thu | fri | sat)] | [(sun | mon | tue | wed | thu | fri | sat) ] HH:MM to HH:MM', 'cbs_220'), ('periodic day-of-the-week hh:mm to day-of-the-week hh:mm', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('no periodic day-of-the-week hh:mm to day-of-the-week hh:mm', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('periodic list hh:mm to hh:mm day-of-the-week1 [day-of-the-week2… day-of-the-week7]', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('no periodic list hh:mm to hh:mm day-of-the-week1 [day-of-the-week2… day-of-the-week7]', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('periodic list hh:mm to hh:mm all', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('no periodic list hh:mm to hh:mm all', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300')]"
permit ( IP ),"[('permit protocol {any | source source-wildcard} {any | destination destination-wildcard} [ace-priority priority] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'cbs_250, cbs_350, cat_1300'), ('permit icmp {any | source source-wildcard} {any | destination destination-wildcard} [any | icmp-type] [any | icmp-code] [ace-priority priority] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'cbs_250, cbs_350, cat_1300'), ('permit igmp {any | source source-wildcard} {any | destination destination-wildcard}[igmp-type] [ace-priority priority] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'cbs_250, cbs_350, cat_1300'), ('permit tcp {any | source source-wildcard} {any|source-port/port-range}{any | destination destination-wildcard} {any|destination-port/port-range} [ace-priority priority] [dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [log-input]', 'cbs_250, cbs_350, cat_1300'), ('permit udp {any | source source-wildcard} {any|source-port/port-range} {any | destination destination-wildcard} {any|destination-port/port-range} [ace-priority priority] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'cbs_250, cbs_350, cat_1300'), ('no permit protocol {any | source source-wildcard} {any | destination destination-wildcard} [dscp number | precedence number] [time-range time-range-name] [log-input]', 'cbs_250, cbs_350, cat_1300'), ('no permit icmp {any | source source-wildcard} {any | destination destination-wildcard} [any | icmp-type] [any | icmp-code] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'cbs_250, cbs_350, cat_1300'), ('no permit igmp {any | source source-wildcard} {any | destination destination-wildcard}[igmp-type] [dscp number | precedence number] [time-range time-range-name] [log-input]', 'cbs_250, cbs_350, cat_1300'), ('no permit tcp {any | source source-wildcard} {any|source-port/port-range}{any | destination destination-wildcard} {any|destination-port/port-range} [dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [log-input]', 'cbs_250, cbs_350, cat_1300'), ('no permit udp {any | source source-wildcard} {any|source-port/port-range} {any | destination destination-wildcard} {any|destination-port/port-range} [dscp number | precedence number] [time-range time-range-name] [log-input]', 'cbs_250, cbs_350, cat_1300')]"
permit ( IPv6 ),"[('permit protocol {any |{source-prefix/length}{any | destination-prefix/length} [ace-priority priority][dscp number | precedence number] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300'), ('permit icmp {any | {source-prefix/length}{any | destination-prefix/length} {any|icmp-type} {any|icmp-code} [ace-priority priority][dscp number | precedence number] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300'), ('permit tcp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any | destination-port} [ace-priority priority][dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300'), ('permit udp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any | destination-port} [ace-priority priority][dscp number | precedence number][time-range time-range-name] [log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300'), ('no permit protocol {any |{source-prefix/length}{any | destination-prefix/length} [dscp number | precedence number] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300'), ('no permit icmp {any | {source-prefix/length}{any | destination-prefix/length} {any|icmp-type} {any|icmp-code} [dscp number | precedence number] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300'), ('no permit tcp {any | {source-prefix/length} {any | source-port}{any | destination- prefix/length} {any| destination-port} [dscp number | precedence number] [match-all list-of-flags] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300'), ('no permit udp {any | {source-prefix/length} {any | source-port}{any | destination-prefix/length} {any| destination-port} [dscp number | precedence number] [time-range time-range-name] [log-input] [flow-label flow-label-value]', 'cbs_250, cbs_350, cat_1300')]"
permit ( MAC ),"[('permit {any | source source-wildcard} {any | destination destination-wildcard} [ace-priority priority][eth-type 0 | aarp | amber | dec-spanning | decnet-iv | diagnostic | dsm | etype-6000] [vlan vlan-id] [cos cos cos-wildcard] [time-range time-range-name]', 'cbs_250, cbs_350, cat_1300'), ('[log-input]', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('no permit {any | source source-wildcard} {any | destination destination-wildcard} [eth-type 0 | aarp | amber | dec-spanning | decnet-iv | diagnostic | dsm | etype-6000] [vlan vlan-id] [cos cos cos-wildcard] [time-range time-range-name]', 'cbs_250, cbs_350, cat_1300')]"
permit (IP),"[('[sequence value] permit protocol {any | source source-wildcard } {any | destination destination-wildcard } [dscp number | precedence number]', 'cbs_220'), ('[sequence value] permit icmp {any | source source-wildcard } {any | destination destination-wildcard} [any | icmp-type] [any | icmp-code] [dscp number | precedence number]', 'cbs_220'), ('[sequence value] permit tcp {any | source source-wildcard } {any | source-port/port-range} {any | destination destination-wildcard } {any | destination-port/port-range } [dscp number | precedence number ] [match-all list-of-flags]', 'cbs_220'), ('[sequence value] permit udp {any | source source-wildcard } {any | source-port/port-range } {any | destination destination-wildcard } {any | destination-port/port-range } [dscp number | precedence number]', 'cbs_220'), ('no sequence value', 'cbs_220')]"
permit (IPv6),"[('[sequence value] permit protocol {any | source-prefix/length } {any | destination- prefix/length } [dscp number | precedence number ]', 'cbs_220'), ('[sequence value] permit icmp {any | {source-prefix/length } {any | destination- prefix/length } {any | icmp-type } {any | icmp-code } [dscp number | precedence number]', 'cbs_220'), ('[sequence value] permit tcp {any | source-prefix/length } {any | source-port/port-range} {any | destination- prefix/length} {any | destination-port/port-range} [dscp number | precedence number ] [match-all list-of-flags]', 'cbs_220'), ('[sequence value] permit udp {any | source-prefix/length } {any | source-port/port-range} {any | destination- prefix/length} {any | destination-port/port-range} [dscp number | precedence number ]', 'cbs_220'), ('no sequence value', 'cbs_220')]"
permit (MAC),"[('[sequence value] permit {any | source source-wildcard} {any | destination destination-wildcard} [any | vlan vlan-id] [cos cos cos-wildcard] [ethtype value]', 'cbs_220'), ('no sequence value', 'cbs_220')]"
permit (Management),"[('[sequence sequence-number] permit interfaces interface-id service service', 'cbs_220'), ('[sequence sequence-number] permit {ip ipv4-address/ipv4mask | ipv6 ipv6-address/ipv6-prefix-length} [interfaces interface-id] service service', 'cbs_220'), ('permit [interface-id] [service service]', 'cbs_250, cbs_350, cat_1300'), ('permit ip-source {ipv4-address | ipv6-address/ipv6-prefix-length} [mask {mask | prefix-length}] [interface-id] [service service]', 'cbs_250, cbs_350, cat_1300')]"
ping,"[('ping ip {ipv4-address | hostname} [count packet_count]', 'cbs_220'), ('ping ipv6 {ipv6-address | hostname} [count packet_count]', 'cbs_220'), ('ping [ip] {ipv4-address | hostname} [size packet_size] [count packet_count] [timeout time_out] [source source-address]', 'cbs_250, cbs_350, cat_1300'), ('ping ipv6 {ipv6-address | hostname} [size packet_size] [count packet_count] [timeout time_out] [source source-address]', 'cbs_250, cbs_350, cat_1300')]"
pnp device,"[('pnp device username username password password', 'cbs_250, cbs_350, cat_1300'), ('encrypted pnp device username username password encrypted-password', 'cbs_250, cbs_350, cat_1300'), ('no pnp device', 'cbs_250, cbs_350, cat_1300')]"
pnp discovery timeout,"[('pnp discovery timeout timeout exponential-factor max-timeout', 'cbs_250, cbs_350, cat_1300'), ('no pnp discovery timeout', 'cbs_250, cbs_350, cat_1300')]"
pnp enable,"[('pnp enable', 'cbs_250, cbs_350, cat_1300'), ('no pnp enable', 'cbs_250, cbs_350, cat_1300')]"
pnp reconnect interval,"[('pnp reconnect interval timeout', 'cbs_250, cbs_350, cat_1300'), ('no pnp reconnect interval', 'cbs_250, cbs_350, cat_1300')]"
pnp transport,"[('pnp transport {http | https} ip-address [port port-number]', 'cbs_250, cbs_350, cat_1300'), ('no pnp transport', 'cbs_250, cbs_350, cat_1300')]"
pnp watchdog timeout,"[('pnp watchdog timeout timeout', 'cbs_250, cbs_350, cat_1300'), ('no pnp watchdog timeout', 'cbs_250, cbs_350, cat_1300')]"
police,"[('police committed-rate-kbps [exceed-action {drop | forward}]', 'cbs_220'), ('no police', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('police committed-rate-kbps committed-burst-byte [exceed-action action] [peak peak-rate-kbps peak-burst-byte [violate-action action]', 'cbs_250, cbs_350, cat_1300')]"
police aggregate,"[('police aggregate aggregate-policer-name', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no police aggregate', 'cbs_220'), ('no police aggregate aggregate-policer-name', 'cbs_250, cbs_350, cat_1300')]"
policy-map,"[('policy-map policy-map-name', 'cbs_220, cbs_250, cbs_350, cat_1300'), ('no policy-map policy-map-name', 'cbs_220, cbs_250, cbs_350, cat_1300')]"
port jumbo-frame,"[('port jumbo-frame', 'cbs_250, cbs_350, cat_1300'), ('no port jumbo-frame', 'cbs_250, cbs_350, cat_1300')]"
port leds enable,"[('port leds enable', 'cbs_220'), ('no port leds enable', 'cbs_220')]"
